,sentence,likelihood,layer,improbable_impossible_projection,impossible_inconceivable_projection,improbable_inconceivable_projection
0,cleaning a spill using a country.,5.625,0,-2.96875,-1.375,-4.3125
1,cleaning a spill using a country.,5.625,1,-7.25,-23.25,-30.5
2,cleaning a spill using a country.,5.625,2,-2.140625,-18.125,-20.25
3,cleaning a spill using a country.,5.625,3,73.5,80.0,154.0
4,cleaning a spill using a country.,5.625,4,32.5,49.0,81.5
5,cleaning a spill using a country.,5.625,5,225.0,380.0,608.0
6,cleaning a spill using a country.,5.625,6,70.0,219.0,290.0
7,cleaning a spill using a country.,5.625,7,87.5,-118.0,-31.375
8,cleaning a spill using a country.,5.625,8,47.5,-138.0,-88.0
9,cleaning a spill using a country.,5.625,9,103.0,-4.71875,97.0
10,cleaning a spill using a country.,5.625,10,294.0,-384.0,-89.5
11,cleaning a spill using a country.,5.625,11,700.0,-744.0,-38.25
12,cleaning a spill using a country.,5.625,12,444.0,-432.0,16.625
13,cleaning a spill using a country.,5.625,13,1128.0,-920.0,199.0
14,cleaning a spill using a country.,5.625,14,1248.0,-856.0,400.0
15,cleaning a spill using a country.,5.625,15,860.0,-1472.0,-608.0
16,cleaning a spill using a country.,5.625,16,1160.0,-1004.0,152.0
17,cleaning a spill using a country.,5.625,17,408.0,-860.0,-450.0
18,cleaning a spill using a country.,5.625,18,440.0,-1880.0,-1448.0
19,cleaning a spill using a country.,5.625,19,282.0,-1192.0,-904.0
20,cleaning a spill using a country.,5.625,20,744.0,-1088.0,-346.0
21,cleaning a spill using a country.,5.625,21,2112.0,-796.0,1320.0
22,cleaning a spill using a country.,5.625,22,2560.0,-1480.0,1088.0
23,cleaning a spill using a country.,5.625,23,3776.0,-1544.0,2224.0
24,cleaning a spill using a country.,5.625,24,4832.0,318.0,5152.0
25,cleaning a spill using a country.,5.625,25,7392.0,16640.0,23936.0
26,shaving their beard using a belief.,8.076923076923077,0,-3.5,3.21875,-0.2734375
