item_set_id,sentence,label,voice,synonym_set,synonym_id
1,The raider caught the illness.,probable,active,1.0,Version1
1,The illness caught the raider.,inconceivable,active,1.0,Version1
1,The illness was caught by the raider.,probable,passive,1.0,Version1
1,The raider was caught by the illness.,inconceivable,passive,1.0,Version1
2,The marauder contracted the disease.,probable,active,1.0,Version2
2,The disease contracted the marauder.,inconceivable,active,1.0,Version2
2,The disease was contracted by the marauder.,probable,passive,1.0,Version2
2,The marauder was contracted by the disease.,inconceivable,passive,1.0,Version2
3,The convict dreaded the prison.,probable,active,2.0,Version1
3,The prison dreaded the convict.,inconceivable,active,2.0,Version1
3,The prison was dreaded by the convict.,probable,passive,2.0,Version1
3,The convict was dreaded by the prison.,inconceivable,passive,2.0,Version1
4,The criminal feared the jail.,probable,active,2.0,Version2
4,The jail feared the criminal.,inconceivable,active,2.0,Version2
4,The jail was feared by the criminal.,probable,passive,2.0,Version2
4,The criminal was feared by the jail.,inconceivable,passive,2.0,Version2
5,The prostitute squandered the cash.,probable,active,3.0,Version1
5,The cash squandered the prostitute.,inconceivable,active,3.0,Version1
5,The cash was squandered by the prostitute.,probable,passive,3.0,Version1
5,The prostitute was squandered by the cash.,inconceivable,passive,3.0,Version1
6,The call girl wasted the money.,probable,active,3.0,Version2
6,The money wasted the call girl.,inconceivable,active,3.0,Version2
6,The money was wasted by the call girl.,probable,passive,3.0,Version2
6,The call girl was wasted by the money.,inconceivable,passive,3.0,Version2
7,The adventurer requested the beverage.,probable,active,,
7,The beverage requested the adventurer.,inconceivable,active,,
7,The beverage was requested by the adventurer.,probable,passive,,
7,The adventurer was requested by the beverage.,inconceivable,passive,,
8,The undertaker prepared the funeral.,probable,active,4.0,Version1
8,The funeral prepared the undertaker.,inconceivable,active,4.0,Version1
8,The funeral was prepared by the undertaker.,probable,passive,4.0,Version1
8,The undertaker was prepared by the funeral.,inconceivable,passive,4.0,Version1
9,The mortician arranged the burial.,probable,active,4.0,Version2
9,The burial arranged the mortician.,inconceivable,active,4.0,Version2
9,The burial was arranged by the mortician.,probable,passive,4.0,Version2
9,The mortician was arranged by the burial.,inconceivable,passive,4.0,Version2
10,The supervisor supplied the liquor.,probable,active,5.0,Version1
10,The liquor supplied the supervisor.,inconceivable,active,5.0,Version1
10,The liquor was supplied by the supervisor.,probable,passive,5.0,Version1
10,The supervisor was supplied by the liquor.,inconceivable,passive,5.0,Version1
11,The overseer provided the alcohol.,probable,active,5.0,Version2
11,The alcohol provided the overseer.,inconceivable,active,5.0,Version2
11,The alcohol was provided by the overseer.,probable,passive,5.0,Version2
11,The overseer was provided by the alcohol.,inconceivable,passive,5.0,Version2
12,The troublemaker crashed the car.,probable,active,6.0,Version1
12,The car crashed the troublemaker.,inconceivable,active,6.0,Version1
12,The car was crashed by the troublemaker.,probable,passive,6.0,Version1
12,The troublemaker was crashed by the car.,inconceivable,passive,6.0,Version1
13,The hooligan wrecked the vehicle.,probable,active,6.0,Version2
13,The vehicle wrecked the hooligan.,inconceivable,active,6.0,Version2
13,The vehicle was wrecked by the hooligan.,probable,passive,6.0,Version2
13,The hooligan was wrecked by the vehicle.,inconceivable,passive,6.0,Version2
14,The repairman fixed the tap.,probable,active,7.0,Version1
14,The tap fixed the repairman.,inconceivable,active,7.0,Version1
14,The tap was fixed by the repairman.,probable,passive,7.0,Version1
14,The repairman was fixed by the tap.,inconceivable,passive,7.0,Version1
15,The handyman repaired the faucet.,probable,active,7.0,Version2
15,The faucet repaired the handyman.,inconceivable,active,7.0,Version2
15,The faucet was repaired by the handyman.,probable,passive,7.0,Version2
15,The handyman was repaired by the faucet.,inconceivable,passive,7.0,Version2
16,The secretary organized the desk.,probable,active,8.0,Version1
16,The desk organized the secretary.,inconceivable,active,8.0,Version1
16,The desk was organized by the secretary.,probable,passive,8.0,Version1
16,The secretary was organized by the desk.,inconceivable,passive,8.0,Version1
17,The receptionist tidied the table.,probable,active,8.0,Version2
17,The table tidied the receptionist.,inconceivable,active,8.0,Version2
17,The table was tidied by the receptionist.,probable,passive,8.0,Version2
17,The receptionist was tidied by the table.,inconceivable,passive,8.0,Version2
18,The pilot steered the airplane.,probable,active,9.0,Version1
18,The airplane steered the pilot.,inconceivable,active,9.0,Version1
18,The airplane was steered by the pilot.,probable,passive,9.0,Version1
18,The pilot was steered by the airplane.,inconceivable,passive,9.0,Version1
19,The aviator maneuvered the jet.,probable,active,9.0,Version2
19,The jet maneuvered the aviator.,inconceivable,active,9.0,Version2
19,The jet was maneuvered by the aviator.,probable,passive,9.0,Version2
19,The aviator was maneuvered by the jet.,inconceivable,passive,9.0,Version2
20,The chef sauteed the squid.,probable,active,10.0,Version1
20,The squid sauteed the chef.,inconceivable,active,10.0,Version1
20,The squid was sauteed by the chef.,probable,passive,10.0,Version1
20,The chef was sauteed by the squid.,inconceivable,passive,10.0,Version1
21,The cook grilled the octopus.,probable,active,10.0,Version2
21,The octopus grilled the cook.,inconceivable,active,10.0,Version2
21,The octopus was grilled by the cook.,probable,passive,10.0,Version2
21,The cook was grilled by the octopus.,inconceivable,passive,10.0,Version2
22,The ship captain promised the triumph.,probable,active,11.0,Version1
22,The triumph promised the ship captain.,inconceivable,active,11.0,Version1
22,The triumph was promised by the ship captain.,probable,passive,11.0,Version1
22,The ship captain was promised by the triumph.,inconceivable,passive,11.0,Version1
23,The skipper guaranteed the victory.,probable,active,11.0,Version2
23,The victory guaranteed the skipper.,inconceivable,active,11.0,Version2
23,The victory was guaranteed by the skipper.,probable,passive,11.0,Version2
23,The skipper was guaranteed by the victory.,inconceivable,passive,11.0,Version2
24,The milliner adorned the fedora.,probable,active,12.0,Version1
24,The fedora adorned the milliner.,inconceivable,active,12.0,Version1
24,The fedora was adorned by the milliner.,probable,passive,12.0,Version1
24,The milliner was adorned by the fedora.,inconceivable,passive,12.0,Version1
25,The hatter decorated the bowler.,probable,active,12.0,Version2
25,The bowler decorated the hatter.,inconceivable,active,12.0,Version2
25,The bowler was decorated by the hatter.,probable,passive,12.0,Version2
25,The hatter was decorated by the bowler.,inconceivable,passive,12.0,Version2
26,The serviceman hoisted the flag.,probable,active,13.0,Version1
26,The flag hoisted the serviceman.,inconceivable,active,13.0,Version1
26,The flag was hoisted by the serviceman.,probable,passive,13.0,Version1
26,The serviceman was hoisted by the flag.,inconceivable,passive,13.0,Version1
27,The soldier raised the banner.,probable,active,13.0,Version2
27,The banner raised the soldier.,inconceivable,active,13.0,Version2
27,The banner was raised by the soldier.,probable,passive,13.0,Version2
27,The soldier was raised by the banner.,inconceivable,passive,13.0,Version2
28,The agent failed the mission.,probable,active,14.0,Version1
28,The mission failed the agent.,inconceivable,active,14.0,Version1
28,The mission was failed by the agent.,probable,passive,14.0,Version1
28,The agent was failed by the mission.,inconceivable,passive,14.0,Version1
29,The operative blew the assignment.,probable,active,14.0,Version2
29,The assignment blew the operative.,inconceivable,active,14.0,Version2
29,The assignment was blown by the operative.,probable,passive,14.0,Version2
29,The operative was blown by the assignment.,inconceivable,passive,14.0,Version2
30,The anchorman garbled the expression.,probable,active,15.0,Version1
30,The expression garbled the anchorman.,inconceivable,active,15.0,Version1
30,The expression was garbled by the anchorman.,probable,passive,15.0,Version1
30,The anchorman was garbled by the expression.,inconceivable,passive,15.0,Version1
31,The announcer mispronounced the word.,probable,active,15.0,Version2
31,The word mispronounced the announcer.,inconceivable,active,15.0,Version2
31,The word was mispronounced by the announcer.,probable,passive,15.0,Version2
31,The announcer was mispronounced by the word.,inconceivable,passive,15.0,Version2
32,The author finished the novel.,probable,active,16.0,Version1
32,The novel finished the author.,inconceivable,active,16.0,Version1
32,The novel was finished by the author.,probable,passive,16.0,Version1
32,The author was finished by the novel.,inconceivable,passive,16.0,Version1
33,The writer completed the book.,probable,active,16.0,Version2
33,The book completed the writer.,inconceivable,active,16.0,Version2
33,The book was completed by the writer.,probable,passive,16.0,Version2
33,The writer was completed by the book.,inconceivable,passive,16.0,Version2
34,The financier sponsored the project.,probable,active,17.0,Version1
34,The project sponsored the financier.,inconceivable,active,17.0,Version1
34,The project was sponsored by the financier.,probable,passive,17.0,Version1
34,The financier was sponsored by the project.,inconceivable,passive,17.0,Version1
35,The banker funded the program.,probable,active,17.0,Version2
35,The program funded the banker.,inconceivable,active,17.0,Version2
35,The program was funded by the banker.,probable,passive,17.0,Version2
35,The banker was funded by the program.,inconceivable,passive,17.0,Version2
36,The tourist exited the bus.,probable,active,18.0,Version1
36,The bus exited the tourist.,inconceivable,active,18.0,Version1
36,The bus was exited by the tourist.,probable,passive,18.0,Version1
36,The tourist was exited by the bus.,inconceivable,passive,18.0,Version1
37,The vacationer left the shuttle.,probable,active,18.0,Version2
37,The shuttle left the vacationer.,inconceivable,active,18.0,Version2
37,The shuttle was left by the vacationer.,probable,passive,18.0,Version2
37,The vacationer was left by the shuttle.,inconceivable,passive,18.0,Version2
38,The dietitian loathed the jam.,probable,active,19.0,Version1
38,The jam loathed the dietitian.,inconceivable,active,19.0,Version1
38,The jam was loathed by the dietitian.,probable,passive,19.0,Version1
38,The dietitian was loathed by the jam.,inconceivable,passive,19.0,Version1
39,The nutritionist detested the marmalade.,probable,active,19.0,Version2
39,The marmalade detested the nutritionist.,inconceivable,active,19.0,Version2
39,The marmalade was detested by the nutritionist.,probable,passive,19.0,Version2
39,The nutritionist was detested by the marmalade.,inconceivable,passive,19.0,Version2
40,The scientist discovered the cure.,probable,active,20.0,Version1
40,The cure discovered the scientist.,inconceivable,active,20.0,Version1
40,The cure was discovered by the scientist.,probable,passive,20.0,Version1
40,The scientist was discovered by the cure.,inconceivable,passive,20.0,Version1
41,The researcher found the remedy.,probable,active,20.0,Version2
41,The remedy found the researcher.,inconceivable,active,20.0,Version2
41,The remedy was found by the researcher.,probable,passive,20.0,Version2
41,The researcher was found by the remedy.,inconceivable,passive,20.0,Version2
42,The doctor closed the school.,probable,active,,
42,The school closed the doctor.,inconceivable,active,,
42,The school was closed by the doctor.,probable,passive,,
42,The doctor was closed by the school.,inconceivable,passive,,
43,The maid lifted the cushion.,probable,active,,
43,The cushion lifted the maid.,inconceivable,active,,
43,The cushion was lifted by the maid.,probable,passive,,
43,The maid was lifted by the cushion.,inconceivable,passive,,
48,The servant wiped the sink.,probable,active,23.0,Version1
48,The sink wiped the servant.,inconceivable,active,23.0,Version1
48,The sink was wiped by the servant.,probable,passive,23.0,Version1
48,The servant was wiped by the sink.,inconceivable,passive,23.0,Version1
49,The domestic cleaned the wash basin.,probable,active,23.0,Version2
49,The wash basin cleaned the domestic.,inconceivable,active,23.0,Version2
49,The wash basin was cleaned by the domestic.,probable,passive,23.0,Version2
49,The domestic was cleaned by the wash basin.,inconceivable,passive,23.0,Version2
50,The friend donned the pullover.,probable,active,,
50,The pullover donned the friend.,inconceivable,active,,
50,The pullover was donned by the friend.,probable,passive,,
50,The friend was donned by the pullover.,inconceivable,passive,,
51,The convalescent took the pill.,probable,active,24.0,Version1
51,The pill took the convalescent.,inconceivable,active,24.0,Version1
51,The pill was taken by the convalescent.,probable,passive,24.0,Version1
51,The convalescent was taken by the pill.,inconceivable,passive,24.0,Version1
52,The patient swallowed the medicine.,probable,active,24.0,Version2
52,The medicine swallowed the patient.,inconceivable,active,24.0,Version2
52,The medicine was swallowed by the patient.,probable,passive,24.0,Version2
52,The patient was swallowed by the medicine.,inconceivable,passive,24.0,Version2
53,The hoarder hid the stash.,probable,active,25.0,Version1
53,The stash hid the hoarder.,inconceivable,active,25.0,Version1
53,The stash was hidden by the hoarder.,probable,passive,25.0,Version1
53,The hoarder was hidden by the stash.,inconceivable,passive,25.0,Version1
54,The packrat concealed the stockpile.,probable,active,25.0,Version2
54,The stockpile concealed the packrat.,inconceivable,active,25.0,Version2
54,The stockpile was concealed by the packrat.,probable,passive,25.0,Version2
