population,ID,AgeGroup,Age,Task Name,order-a3p8,display,Trial Number,Response,RT,Event,event_type,Triad No.,Domain,Event Type,RT.sd
children,1,age 5,5.55890411,Block A,BCA,Trial,1,0,1628.9,live for 1000 years?,impossible,22,Biology,Impossible,-0.8929660383504257
children,1,age 5,5.55890411,Block A,BCA,Trial,2,1,4550,eat a brownie for dessert?,ordinary,12,Conventional,Ordinary,0.3637212078295102
children,1,age 5,5.55890411,Block A,BCA,Trial,3,1,1766.1,clean a road?,improbable,8,Physics,Improbable,-0.8339411880625591
children,1,age 5,5.55890411,Block A,BCA,Trial,4,0,4392.3,magically appear into the store?,impossible,16,Moral,Impossible,0.2958770468207889
children,1,age 5,5.55890411,Block A,BCA,Trial,5,0,4766.3,make a house out of gas?,impossible,7,Physics,Impossible,0.456775691191504
children,1,age 5,5.55890411,Block A,BCA,Trial,6,0,3559.9,move a marble with their mind?,impossible,1,Physics,Impossible,-0.06222998947381885
children,1,age 5,5.55890411,Block A,BCA,Trial,7,0,2957.8,be born with 12 toes?,improbable,24,Biology,Improbable,-0.3212595984995075
children,1,age 5,5.55890411,Block A,BCA,Trial,8,0,2627.2,eat an insect?,improbable,19,Conventional,Improbable,-0.4634871167587548
children,1,age 5,5.55890411,Block A,BCA,Trial,9,1,3454.9,play with magic?,impossible,20,Conventional,Impossible,-0.1074020687757576
children,1,age 5,5.55890411,Block A,BCA,Trial,10,1,2461,find a sweater in a closet?,ordinary,13,Other,Ordinary,-0.5349880651395378
children,1,age 5,5.55890411,Block A,BCA,Trial,11,1,2552.8,paint polka dots on a plane?,improbable,4,Physics,Improbable,-0.49549476152127125
children,1,age 5,5.55890411,Block A,BCA,Trial,12,0,1422.1,have the moon as a pet?,impossible,10,Other,Impossible,-0.9819335240612918
children,1,age 5,5.55890411,Block A,BCA,Trial,13,1,2097.9,make their friend smile?,ordinary,15,Moral,Ordinary,-0.6911974174684326
children,1,age 5,5.55890411,Block A,BCA,Trial,14,1,1160.4,ride a horse?,ordinary,11,Other,Ordinary,-1.0945195540928856
children,1,age 5,5.55890411,Block A,BCA,Trial,15,1,7827.7,shake someone's hand with their mouth?,improbable,18,Conventional,Improbable,1.7738214395244112
children,1,age 5,5.55890411,Block A,BCA,Trial,16,1,2148.5,open a window with their hand?,ordinary,3,Physics,Ordinary,-0.6694287773476888
children,1,age 5,5.55890411,Block A,BCA,Trial,17,1,4040.3,stay awake for 5 days?,improbable,23,Biology,Improbable,0.1444430285895276
children,1,age 5,5.55890411,Block A,BCA,Trial,18,0,1614.9,eat a large rock?,impossible,14,Moral,Impossible,-0.8989889822573508
children,1,age 5,5.55890411,Block A,BCA,Trial,19,1,4054.4,count all of the hairs on a dog?,improbable,6,Physics,Improbable,0.1505089935243593
children,1,age 5,5.55890411,Block A,BCA,Trial,20,1,2230.7,unlock a door with a doorkey?,ordinary,5,Physics,Ordinary,-0.6340654924084569
children,1,age 5,5.55890411,Block A,BCA,Trial,21,1,1876.2,eat a whole sandwich for dinner?,ordinary,25,Biology,Ordinary,-0.7865750363373832
children,1,age 5,5.55890411,Block A,BCA,Trial,22,0,4289,walk through a hot fire?,improbable,2,Physics,Improbable,0.2514363249932624
children,1,age 5,5.55890411,Block A,BCA,Trial,23,1,5647.3,not eat for 1 hour?,ordinary,21,Biology,Ordinary,0.8357909470487234
children,1,age 5,5.55890411,Block A,BCA,Trial,24,1,1633.4,turn an onion into onion slices?,ordinary,9,Physics,Ordinary,-0.8910300920946282
children,1,age 5,5.55890411,Block A,BCA,Trial,25,1,1380.1,wear shoes made out of stone?,improbable,17,Conventional,Improbable,-1.0000023557820672
children,1,age 5,5.55890411,Block A,BCA,Trial,26,0,1798.9,know the names of everyone in the world?,impossible,26,Other,Impossible,-0.8198302909091915
children,1,age 5,5.55890411,Block B,BCA,Trial,1,0,4178.2,shake someone's hand with their mind?,impossible,18,Conventional,Impossible,0.2037690260727403
children,1,age 5,5.55890411,Block B,BCA,Trial,2,1,1601.9,be born with 2 feet?,ordinary,24,Biology,Ordinary,-0.9045817158852099
children,1,age 5,5.55890411,Block B,BCA,Trial,4,0,3229,play with a wolf?,improbable,20,Conventional,Improbable,-0.20458657081678586
children,1,age 5,5.55890411,Block B,BCA,Trial,5,0,2199,turn an onion into apple juice?,impossible,9,Physics,Impossible,-0.6477031582548516
children,1,age 5,5.55890411,Block B,BCA,Trial,7,0,6430.9,eat a rainbow for dessert?,impossible,12,Conventional,Impossible,1.172903721724906
children,1,age 5,5.55890411,Block B,BCA,Trial,8,1,3081.5,stay awake for 5 hours?,ordinary,23,Biology,Ordinary,-0.2680425869790331
children,1,age 5,5.55890411,Block B,BCA,Trial,9,0,2387.6,not eat for 100 days?,impossible,21,Biology,Impossible,-0.5665654996229883
children,1,age 5,5.55890411,Block B,BCA,Trial,10,0,1856.7,find a monkey in a closet?,improbable,13,Other,Improbable,-0.7949641367791719
children,1,age 5,5.55890411,Block B,BCA,Trial,11,0,2143.9,eat a whole whale for dinner?,impossible,25,Biology,Impossible,-0.6714077446313927
children,1,age 5,5.55890411,Block B,BCA,Trial,12,1,5141.2,know the names of everyone they ever met?,improbable,26,Other,Improbable,0.6180615248133785
children,1,age 5,5.55890411,Block B,BCA,Trial,13,1,2255.3,make their friend cry?,improbable,15,Moral,Improbable,-0.623482319543431
children,1,age 5,5.55890411,Block B,BCA,Trial,14,0,1462.7,paint polka dots on a cloud?,impossible,4,Physics,Impossible,-0.9644669867312088
children,1,age 5,5.55890411,Block B,BCA,Trial,15,1,1522.5,ride a cow?,improbable,11,Other,Improbable,-0.9387404120430569
children,1,age 5,5.55890411,Block B,BCA,Trial,16,1,1518,count all of the students in a room?,ordinary,6,Physics,Ordinary,-0.9406763582988543
children,1,age 5,5.55890411,Block B,BCA,Trial,17,1,2267.6,move a marble with their breath?,improbable,1,Physics,Improbable,-0.6181907331109183
