layer,split,accuracy
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
1,0,0.5
1,1,0.5
1,2,0.6428571428571429
1,3,0.42857142857142855
1,4,0.5714285714285714
2,0,0.5
2,1,0.42857142857142855
2,2,0.5714285714285714
2,3,0.2857142857142857
2,4,0.6428571428571429
3,0,0.5714285714285714
3,1,0.35714285714285715
3,2,0.5714285714285714
3,3,0.21428571428571427
3,4,0.7142857142857143
4,0,0.5
4,1,0.5
4,2,0.5
4,3,0.21428571428571427
4,4,0.6428571428571429
5,0,0.42857142857142855
5,1,0.6428571428571429
5,2,0.5
5,3,0.21428571428571427
5,4,0.7857142857142857
6,0,0.5714285714285714
6,1,0.7142857142857143
6,2,0.5714285714285714
6,3,0.21428571428571427
6,4,0.5714285714285714
7,0,0.5
7,1,0.7142857142857143
7,2,0.5714285714285714
7,3,0.35714285714285715
7,4,0.6428571428571429
8,0,0.6428571428571429
8,1,0.5
8,2,0.5714285714285714
8,3,0.2857142857142857
8,4,0.7142857142857143
9,0,0.5
9,1,0.5714285714285714
9,2,0.5
9,3,0.2857142857142857
9,4,0.6428571428571429
10,0,0.42857142857142855
10,1,0.5714285714285714
10,2,0.6428571428571429
10,3,0.42857142857142855
10,4,0.7142857142857143
11,0,0.6428571428571429
11,1,0.7857142857142857
11,2,0.6428571428571429
11,3,0.7857142857142857
11,4,0.7142857142857143
12,0,0.5
12,1,0.9285714285714286
12,2,0.7857142857142857
12,3,1.0
12,4,0.9285714285714286
13,0,0.8571428571428571
13,1,0.8571428571428571
13,2,0.8571428571428571
13,3,1.0
13,4,1.0
14,0,0.8571428571428571
14,1,0.8571428571428571
14,2,0.8571428571428571
14,3,0.9285714285714286
14,4,0.9285714285714286
15,0,0.8571428571428571
15,1,0.7142857142857143
15,2,0.7142857142857143
15,3,0.8571428571428571
15,4,0.9285714285714286
16,0,0.5714285714285714
16,1,0.6428571428571429
16,2,0.7857142857142857
16,3,0.7142857142857143
16,4,0.9285714285714286
