layer,split,accuracy
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
1,0,0.5714285714285714
1,1,0.5714285714285714
1,2,0.42857142857142855
1,3,0.21428571428571427
1,4,0.42857142857142855
2,0,0.7142857142857143
2,1,0.5714285714285714
2,2,0.5
2,3,0.35714285714285715
2,4,0.6428571428571429
3,0,0.7857142857142857
3,1,0.5
3,2,0.5714285714285714
3,3,0.2857142857142857
3,4,0.7142857142857143
4,0,0.8571428571428571
4,1,0.42857142857142855
4,2,0.5714285714285714
4,3,0.35714285714285715
4,4,0.7857142857142857
5,0,0.8571428571428571
5,1,0.5
5,2,0.5
5,3,0.35714285714285715
5,4,0.7142857142857143
6,0,0.8571428571428571
6,1,0.5714285714285714
6,2,0.42857142857142855
6,3,0.42857142857142855
6,4,0.7857142857142857
7,0,0.9285714285714286
7,1,0.5
7,2,0.5
7,3,0.42857142857142855
7,4,0.7857142857142857
8,0,0.9285714285714286
8,1,0.6428571428571429
8,2,0.5
8,3,0.42857142857142855
8,4,0.7857142857142857
9,0,0.9285714285714286
9,1,0.5
9,2,0.5
9,3,0.42857142857142855
9,4,0.7857142857142857
10,0,0.9285714285714286
10,1,0.5
10,2,0.5
10,3,0.35714285714285715
10,4,0.7857142857142857
11,0,0.8571428571428571
11,1,0.6428571428571429
11,2,0.5
11,3,0.35714285714285715
11,4,0.8571428571428571
12,0,1.0
12,1,0.6428571428571429
12,2,0.7142857142857143
12,3,0.42857142857142855
12,4,0.8571428571428571
13,0,0.9285714285714286
13,1,0.7142857142857143
13,2,0.7142857142857143
13,3,0.42857142857142855
13,4,0.8571428571428571
14,0,0.8571428571428571
14,1,0.7857142857142857
14,2,0.8571428571428571
14,3,0.5714285714285714
14,4,0.8571428571428571
15,0,0.9285714285714286
15,1,0.7857142857142857
15,2,0.7857142857142857
15,3,0.9285714285714286
15,4,0.7857142857142857
16,0,0.9285714285714286
16,1,0.7142857142857143
16,2,0.9285714285714286
16,3,0.7857142857142857
16,4,0.7142857142857143
