layer,pc,split,accuracy
1,0,0,0.8571428571428572
1,0,1,0.7857142857142857
1,0,2,0.6428571428571428
1,0,3,0.7142857142857143
1,0,4,0.7857142857142857
1,1,0,0.7857142857142857
1,1,1,0.7857142857142857
1,1,2,0.7142857142857143
1,1,3,0.5
1,1,4,0.7142857142857143
1,2,0,0.7142857142857143
1,2,1,0.6428571428571429
1,2,2,0.7142857142857143
1,2,3,0.7857142857142857
1,2,4,0.8571428571428571
2,0,0,0.6428571428571428
2,0,1,0.6428571428571428
2,0,2,0.7142857142857143
2,0,3,0.5714285714285714
2,0,4,0.5714285714285714
2,1,0,0.42857142857142855
2,1,1,0.5
2,1,2,0.7857142857142857
2,1,3,0.5
2,1,4,0.5714285714285714
2,2,0,0.5714285714285714
2,2,1,0.6428571428571428
2,2,2,0.7142857142857143
2,2,3,0.6428571428571428
2,2,4,0.9285714285714286
3,0,0,0.5714285714285714
3,0,1,0.5714285714285714
3,0,2,0.5
3,0,3,0.2857142857142857
3,0,4,0.7142857142857143
3,1,0,0.7142857142857143
3,1,1,0.7142857142857143
3,1,2,0.7142857142857143
3,1,3,0.7857142857142857
3,1,4,0.7857142857142857
3,2,0,0.5
3,2,1,0.7857142857142857
3,2,2,0.7857142857142857
3,2,3,0.6428571428571428
3,2,4,0.7857142857142857
4,0,0,0.5714285714285714
4,0,1,0.5714285714285714
4,0,2,0.6428571428571429
4,0,3,0.6428571428571429
4,0,4,0.42857142857142855
4,1,0,0.8571428571428571
4,1,1,0.8571428571428571
4,1,2,0.9285714285714286
4,1,3,0.8571428571428571
4,1,4,0.7142857142857143
4,2,0,0.6428571428571428
4,2,1,0.9285714285714286
4,2,2,1.0
4,2,3,0.7142857142857143
4,2,4,0.7142857142857143
5,0,0,0.5714285714285714
5,0,1,0.5714285714285714
5,0,2,0.7142857142857143
5,0,3,0.6428571428571429
5,0,4,0.5
5,1,0,0.7857142857142857
5,1,1,0.5714285714285714
5,1,2,0.9285714285714286
5,1,3,0.7857142857142857
5,1,4,0.7142857142857143
5,2,0,0.9285714285714286
5,2,1,0.8571428571428572
5,2,2,0.9285714285714286
5,2,3,0.8571428571428572
5,2,4,0.6428571428571428
6,0,0,0.7142857142857143
6,0,1,0.5714285714285714
6,0,2,0.7857142857142857
6,0,3,0.7857142857142857
