sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,-29.158476232110388,11.841733970979623,-48.142268476449786,11.841733970979623,-7.419102223528247
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,-6.309457789626187,2.8867407283341775,-22.08910226323345,2.8867407283341775,-5.175612787068526
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,-9.28369355016341,9.3317847891977,-11.101819244883021,9.3317847891977,-2.68997700776518
A door being a multiple of 5.,far,0.0,1.0,-14.914873072981297,16.10916687138478,-4.9739609206761966,16.10916687138478,-5.463942559480911
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,-23.729975902879342,21.49079766007317,-28.682379130116423,21.49079766007317,-6.880436698761464
A girl writing a play.,probable,1.0,0.0,-18.19272845428597,11.380706778224111,-14.58858404050747,11.380706778224111,-7.744084506688048
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,-1.8985150585320172,5.0692722223948135,-7.182313380034843,5.0692722223948135,-3.019904130706185
A kilogram writing a play.,far,0.0,1.0,-12.36118090735569,17.418134160753446,-14.009290653955485,17.418134160753446,-3.6565787034123565
A liter being a multiple of 5.,near,0.75,0.25,6.81681396896675,-1.6927674922976381,27.223815499227683,-1.6927674922976381,-0.20878971785515588
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,-4.327512637032196,8.285108204495712,-11.622159895426577,8.285108204495712,-1.157043746123669
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,-6.628031171144937,15.748965014530095,-16.26757065770294,15.748965014530095,-4.516475445954638
A man feeling regretful.,probable,1.0,0.0,-32.06871884614129,24.085032011718244,-42.4997467855633,24.085032011718244,-6.326420897685395
A mile being surprised by a news article.,far,0.0,1.0,-18.037778946774498,25.30709594765885,-19.46808000108825,25.30709594765885,-2.98535884652042
A pill being amused by a tv show.,near,0.2,0.8,-18.79566472414608,14.203861549341624,-39.81510624239562,14.203861549341624,-5.7046814493342985
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,1.5945756113402583,10.326261803952653,-4.68863452082355,10.326261803952653,-3.528520171467229
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,-24.735601079008248,9.439830041651131,-37.11706543819191,9.439830041651131,-6.570631002015524
A shirt being surprised by a news article.,near,0.2,0.8,-42.599044129282156,23.353223761734878,-56.806080277053404,23.353223761734878,-8.347983142056162
A teenager being surprised by a news article.,probable,1.0,0.0,-37.79239940512056,25.2866150681446,-58.23676331026659,25.2866150681446,-6.393397372227419
A toddler being amused by a tv show.,probable,1.0,0.0,-26.255216408213073,10.533059387386345,-36.15081993750888,10.533059387386345,-5.9930951128174765
A wall being entertained by a podcast.,near,0.25,0.75,-33.06857274643036,16.05049171163642,-44.68221492600391,16.05049171163642,-6.5040602746379585
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,20.101328184878,-8.04152865300517,12.160369492281966,-8.04152865300517,-5.056164006491968
A woman applying for a job.,probable,1.0,0.0,-7.998970757540654,4.319895748755088,-16.273783462725863,4.319895748755088,-7.195942805802305
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,-17.118897133383356,5.380273008470547,-27.382107064155555,5.380273008470547,-6.125983838517345
