layer,split,accuracy
1,0,0.3571428571428571
1,1,0.8571428571428572
1,2,0.5714285714285714
1,3,0.4285714285714286
1,4,0.5714285714285714
2,0,0.5
2,1,0.7857142857142857
2,2,0.6428571428571428
2,3,0.7142857142857143
2,4,0.5714285714285714
3,0,0.5
3,1,0.7857142857142857
3,2,0.5714285714285714
3,3,0.5714285714285714
3,4,0.4285714285714286
4,0,0.6428571428571428
4,1,0.7142857142857143
4,2,0.4285714285714286
4,3,0.6428571428571428
4,4,0.6428571428571428
5,0,0.5714285714285714
5,1,0.5
5,2,0.5
5,3,0.7857142857142857
5,4,0.6428571428571428
6,0,0.5714285714285714
6,1,0.7142857142857143
6,2,0.7857142857142857
6,3,0.8571428571428571
6,4,0.7857142857142857
7,0,0.5
7,1,0.7857142857142857
7,2,0.7142857142857143
7,3,0.6428571428571429
7,4,0.7857142857142857
8,0,0.5714285714285714
8,1,1.0
8,2,0.5714285714285714
8,3,0.5714285714285714
8,4,0.8571428571428571
9,0,0.5714285714285714
9,1,0.8571428571428571
9,2,0.5
9,3,0.7142857142857143
9,4,0.7857142857142857
10,0,0.6428571428571428
10,1,0.6428571428571428
10,2,0.4285714285714286
10,3,0.5
10,4,0.5714285714285714
11,0,0.6428571428571428
11,1,0.7857142857142857
11,2,0.6428571428571428
11,3,0.5
11,4,0.5
12,0,0.7857142857142857
12,1,0.5714285714285714
12,2,0.5714285714285714
12,3,0.7142857142857143
12,4,0.6428571428571428
13,0,0.6428571428571428
13,1,0.4285714285714286
13,2,0.5
13,3,0.6428571428571428
13,4,0.5714285714285714
14,0,0.6428571428571428
14,1,0.6428571428571428
14,2,0.4285714285714286
14,3,0.5714285714285714
14,4,0.7142857142857143
15,0,0.5714285714285714
15,1,0.6428571428571428
15,2,0.5714285714285714
15,3,0.2857142857142857
15,4,0.5
16,0,0.6428571428571428
16,1,0.5714285714285714
16,2,0.6428571428571428
16,3,0.6428571428571428
16,4,0.5
17,0,0.7142857142857143
17,1,0.5
17,2,0.5714285714285714
17,3,0.6428571428571428
17,4,0.5714285714285714
18,0,0.6428571428571428
18,1,0.7142857142857143
18,2,0.6428571428571428
18,3,0.7857142857142857
18,4,0.5714285714285714
19,0,0.6428571428571428
19,1,0.5714285714285714
19,2,0.6428571428571428
19,3,0.5
19,4,0.5714285714285714
20,0,0.9285714285714286
20,1,0.7142857142857143
20,2,0.7142857142857143
20,3,0.7142857142857143
20,4,0.5
21,0,0.6428571428571428
21,1,0.6428571428571428
21,2,0.5
21,3,0.5714285714285714
21,4,0.3571428571428571
22,0,0.7142857142857143
22,1,0.5714285714285714
22,2,0.7857142857142857
22,3,0.7857142857142857
22,4,0.6428571428571428
23,0,0.5714285714285714
23,1,0.5714285714285714
23,2,0.5
23,3,0.7142857142857143
23,4,0.5
24,0,0.7857142857142857
24,1,0.5
24,2,0.5714285714285714
24,3,0.7142857142857143
24,4,0.5714285714285714
25,0,0.5714285714285714
25,1,0.5
25,2,0.7142857142857143
25,3,0.42857142857142855
25,4,0.5714285714285714
26,0,0.35714285714285715
26,1,0.42857142857142855
26,2,0.6428571428571429
26,3,0.5714285714285714
26,4,0.5714285714285714
27,0,0.5714285714285714
27,1,0.5714285714285714
27,2,0.5714285714285714
27,3,0.5714285714285714
27,4,0.6428571428571429
28,0,0.5
28,1,0.5714285714285714
28,2,0.5714285714285714
28,3,0.5
28,4,0.5714285714285714
29,0,0.5714285714285714
29,1,0.5
29,2,0.6428571428571429
29,3,0.35714285714285715
29,4,0.6428571428571429
30,0,0.6428571428571429
30,1,0.7142857142857143
30,2,0.7142857142857143
30,3,0.6428571428571429
30,4,0.6428571428571429
31,0,0.7857142857142857
31,1,0.7857142857142857
31,2,0.5714285714285714
31,3,0.5714285714285714
31,4,0.7142857142857143
32,0,0.8571428571428571
32,1,0.6428571428571429
32,2,0.5714285714285714
32,3,0.6428571428571429
32,4,0.8571428571428571
