layer,split,accuracy
1,0,0.7857142857142857
1,1,0.4285714285714286
1,2,0.4285714285714286
1,3,0.5
1,4,0.4285714285714286
2,0,0.6428571428571428
2,1,0.5
2,2,0.5
2,3,0.5
2,4,0.5
3,0,0.6428571428571428
3,1,0.5714285714285714
3,2,0.7142857142857143
3,3,0.4285714285714286
3,4,0.7142857142857143
4,0,0.4285714285714286
4,1,0.5
4,2,0.3571428571428571
4,3,0.5714285714285714
4,4,0.7142857142857143
5,0,0.6428571428571428
5,1,0.5714285714285714
5,2,0.5714285714285714
5,3,0.7142857142857143
5,4,0.7857142857142857
6,0,0.7857142857142857
6,1,0.7142857142857143
6,2,0.7857142857142857
6,3,0.6428571428571429
6,4,0.7857142857142857
7,0,0.7857142857142857
7,1,0.7142857142857143
7,2,0.7857142857142857
7,3,0.6428571428571429
7,4,0.5714285714285714
8,0,0.3571428571428571
8,1,0.7142857142857143
8,2,0.7142857142857143
8,3,0.6428571428571428
8,4,0.7857142857142857
9,0,0.5714285714285714
9,1,0.5714285714285714
9,2,0.4285714285714286
9,3,0.5
9,4,0.6428571428571428
10,0,0.6428571428571429
10,1,0.7142857142857143
10,2,0.5714285714285714
10,3,0.2857142857142857
10,4,0.5
11,0,0.5714285714285714
11,1,0.7857142857142857
11,2,0.7857142857142857
11,3,0.8571428571428572
11,4,0.8571428571428572
12,0,0.5
12,1,0.5714285714285714
12,2,0.5
12,3,0.7142857142857143
12,4,0.7857142857142857
13,0,0.5714285714285714
13,1,0.5714285714285714
13,2,0.3571428571428571
13,3,0.5714285714285714
13,4,0.9285714285714286
14,0,0.8571428571428572
14,1,0.6428571428571428
14,2,0.7142857142857143
14,3,1.0
14,4,1.0
15,0,0.5714285714285714
15,1,0.7142857142857143
15,2,0.5714285714285714
15,3,0.7142857142857143
15,4,0.6428571428571428
16,0,0.8571428571428572
16,1,0.6428571428571428
16,2,0.6428571428571428
16,3,0.7142857142857143
16,4,0.9285714285714286
17,0,0.5714285714285714
17,1,0.5714285714285714
17,2,0.2857142857142857
17,3,0.7142857142857143
17,4,0.5714285714285714
18,0,0.5714285714285714
18,1,0.6428571428571428
18,2,0.4285714285714286
18,3,0.5714285714285714
18,4,0.6428571428571428
19,0,0.5714285714285714
19,1,0.6428571428571428
19,2,0.5
19,3,0.5714285714285714
19,4,0.5
20,0,0.6428571428571428
20,1,0.5
20,2,0.5714285714285714
20,3,0.5714285714285714
20,4,0.5714285714285714
21,0,1.0
21,1,0.9285714285714286
21,2,0.6428571428571428
21,3,0.9285714285714286
21,4,1.0
22,0,0.5714285714285714
22,1,0.7142857142857143
22,2,0.5714285714285714
22,3,0.7857142857142857
22,4,0.5714285714285714
23,0,0.7142857142857143
23,1,0.7857142857142857
23,2,0.5
23,3,0.5714285714285714
23,4,0.3571428571428571
24,0,0.8571428571428572
24,1,0.7142857142857143
24,2,0.5714285714285714
24,3,0.7857142857142857
24,4,0.5
25,0,0.7857142857142857
25,1,0.6428571428571429
25,2,0.5714285714285714
25,3,0.5714285714285714
25,4,0.35714285714285715
26,0,0.5714285714285714
26,1,0.35714285714285715
26,2,0.5714285714285714
26,3,0.35714285714285715
26,4,0.7142857142857143
27,0,0.7857142857142857
27,1,0.5
27,2,0.8571428571428572
27,3,0.5714285714285714
27,4,0.7142857142857143
28,0,0.6428571428571428
28,1,0.5
28,2,0.4285714285714286
28,3,0.5714285714285714
28,4,0.5714285714285714
29,0,0.6428571428571428
29,1,0.5714285714285714
29,2,0.5
29,3,0.6428571428571428
29,4,0.5714285714285714
30,0,0.6428571428571428
30,1,0.5714285714285714
30,2,0.4285714285714286
30,3,0.5
30,4,0.6428571428571428
31,0,0.5714285714285714
31,1,0.6428571428571429
31,2,0.7857142857142857
31,3,0.8571428571428571
31,4,0.6428571428571429
32,0,0.6428571428571428
32,1,0.6428571428571428
32,2,0.4285714285714286
32,3,0.5714285714285714
32,4,0.4285714285714286
