layer,split,accuracy
1,0,0.9285714285714286
1,1,0.8571428571428572
1,2,0.9285714285714286
1,3,0.7857142857142857
1,4,0.7142857142857143
2,0,0.5714285714285714
2,1,0.5714285714285714
2,2,0.8571428571428572
2,3,0.5714285714285714
2,4,0.7142857142857143
3,0,0.4285714285714286
3,1,0.5
3,2,0.7857142857142857
3,3,0.7857142857142857
3,4,0.7142857142857143
4,0,0.7142857142857143
4,1,0.4285714285714286
4,2,0.7857142857142857
4,3,0.5714285714285714
4,4,0.6428571428571428
5,0,0.8571428571428572
5,1,0.6428571428571428
5,2,0.6428571428571428
5,3,0.5714285714285714
5,4,0.7142857142857143
6,0,0.7142857142857143
6,1,0.4285714285714286
6,2,0.3571428571428571
6,3,0.7142857142857143
6,4,0.6428571428571428
7,0,0.5
7,1,0.5
7,2,0.5714285714285714
7,3,0.6428571428571428
7,4,0.7142857142857143
8,0,0.7142857142857143
8,1,0.5
8,2,0.5
8,3,0.5
8,4,0.7142857142857143
9,0,0.6428571428571428
9,1,0.6428571428571428
9,2,0.6428571428571428
9,3,0.7142857142857143
9,4,0.5714285714285714
10,0,0.7857142857142857
10,1,0.5
10,2,0.4285714285714286
10,3,0.5714285714285714
10,4,0.5
11,0,0.7142857142857143
11,1,0.2857142857142857
11,2,0.5
11,3,0.7142857142857143
11,4,0.5
12,0,0.5714285714285714
12,1,0.5714285714285714
12,2,0.4285714285714286
12,3,0.5
12,4,0.5
13,0,0.7142857142857143
13,1,0.5714285714285714
13,2,0.5714285714285714
13,3,0.5
13,4,0.5714285714285714
14,0,0.6428571428571429
14,1,0.7142857142857143
14,2,0.7857142857142857
14,3,0.5714285714285714
14,4,0.6428571428571429
15,0,0.7142857142857143
15,1,0.7857142857142857
15,2,0.5714285714285714
15,3,0.5714285714285714
15,4,0.7142857142857143
16,0,0.5
16,1,0.7142857142857143
16,2,0.7857142857142857
16,3,0.42857142857142855
16,4,0.5714285714285714
17,0,0.7857142857142857
17,1,0.7142857142857143
17,2,0.6428571428571428
17,3,0.6428571428571428
17,4,0.5714285714285714
18,0,0.7142857142857143
18,1,0.6428571428571428
18,2,0.4285714285714286
18,3,0.6428571428571428
18,4,0.6428571428571428
19,0,0.7142857142857143
19,1,0.5
19,2,0.4285714285714286
19,3,0.5714285714285714
19,4,0.7142857142857143
20,0,0.8571428571428572
20,1,0.7857142857142857
20,2,0.7142857142857143
20,3,0.8571428571428572
20,4,0.7857142857142857
21,0,0.6428571428571428
21,1,0.6428571428571428
21,2,0.5714285714285714
21,3,0.7857142857142857
21,4,0.6428571428571428
22,0,0.5
22,1,0.7857142857142857
22,2,0.6428571428571428
22,3,0.5
22,4,0.6428571428571428
23,0,0.7142857142857143
23,1,0.6428571428571428
23,2,0.5714285714285714
23,3,0.7142857142857143
23,4,0.7857142857142857
24,0,0.6428571428571428
24,1,0.6428571428571428
24,2,0.5714285714285714
24,3,0.5714285714285714
24,4,0.6428571428571428
25,0,0.8571428571428572
25,1,0.5714285714285714
25,2,0.7142857142857143
25,3,0.7857142857142857
25,4,0.6428571428571428
26,0,0.9285714285714286
26,1,0.9285714285714286
26,2,0.8571428571428572
26,3,0.9285714285714286
26,4,0.8571428571428572
