layer,split,accuracy
1,0,1.0
1,1,0.8571428571428572
1,2,0.9285714285714286
1,3,0.6428571428571428
1,4,0.6428571428571428
2,0,0.7857142857142857
2,1,0.5
2,2,0.7857142857142857
2,3,0.7142857142857143
2,4,0.6428571428571428
3,0,0.7142857142857143
3,1,0.5
3,2,0.35714285714285715
3,3,0.6428571428571429
3,4,0.5
4,0,0.7857142857142857
4,1,0.5714285714285714
4,2,0.5714285714285714
4,3,0.6428571428571428
4,4,0.7142857142857143
5,0,0.8571428571428572
5,1,0.7857142857142857
5,2,1.0
5,3,0.9285714285714286
5,4,0.7142857142857143
6,0,0.9285714285714286
6,1,0.8571428571428572
6,2,0.7857142857142857
6,3,0.9285714285714286
6,4,0.9285714285714286
7,0,0.9285714285714286
7,1,0.9285714285714286
7,2,0.7142857142857143
7,3,0.7857142857142857
7,4,0.8571428571428572
8,0,0.9285714285714286
8,1,0.8571428571428572
8,2,0.9285714285714286
8,3,0.7142857142857143
8,4,0.7142857142857143
9,0,0.9285714285714286
9,1,0.5714285714285714
9,2,0.6428571428571428
9,3,0.5
9,4,0.6428571428571428
10,0,0.8571428571428572
10,1,0.5
10,2,0.4285714285714286
10,3,0.6428571428571428
10,4,0.6428571428571428
11,0,0.42857142857142855
11,1,0.7142857142857143
11,2,0.5714285714285714
11,3,0.7142857142857143
11,4,0.6428571428571429
12,0,1.0
12,1,1.0
12,2,1.0
12,3,0.9285714285714286
12,4,0.7857142857142857
13,0,0.42857142857142855
13,1,0.5714285714285714
13,2,0.35714285714285715
13,3,0.7142857142857143
13,4,0.42857142857142855
14,0,0.8571428571428571
14,1,0.7142857142857143
14,2,0.6428571428571429
14,3,0.7142857142857143
14,4,0.9285714285714286
15,0,0.3571428571428571
15,1,0.5
15,2,0.8571428571428572
15,3,0.6428571428571428
15,4,0.4285714285714286
16,0,0.7857142857142857
16,1,0.8571428571428572
16,2,0.7142857142857143
16,3,0.7142857142857143
16,4,0.5
17,0,0.5
17,1,0.42857142857142855
17,2,0.5
17,3,0.5714285714285714
17,4,0.5714285714285714
18,0,0.9285714285714286
18,1,0.7142857142857143
18,2,0.9285714285714286
18,3,1.0
18,4,0.9285714285714286
19,0,0.4285714285714286
19,1,0.6428571428571428
19,2,0.5
19,3,0.6428571428571428
19,4,0.5
20,0,0.4285714285714286
20,1,0.5714285714285714
20,2,0.5
20,3,0.7142857142857143
20,4,0.5
21,0,0.8571428571428572
21,1,0.7857142857142857
21,2,0.6428571428571428
21,3,0.8571428571428572
21,4,0.7857142857142857
22,0,0.3571428571428571
22,1,0.6428571428571428
22,2,0.8571428571428572
22,3,0.7857142857142857
22,4,0.7142857142857143
23,0,0.5714285714285714
23,1,0.5
23,2,0.5
23,3,0.42857142857142855
23,4,0.7142857142857143
24,0,0.8571428571428571
24,1,0.5
24,2,0.5714285714285714
24,3,0.42857142857142855
24,4,0.7857142857142857
25,0,0.6428571428571428
25,1,0.6428571428571428
25,2,0.5
25,3,0.5714285714285714
25,4,0.6428571428571428
26,0,0.8571428571428572
26,1,0.8571428571428572
26,2,0.7142857142857143
26,3,0.7857142857142857
26,4,0.7857142857142857
