layer,split,accuracy
1,0,0.9285714285714286
1,1,0.6428571428571428
1,2,0.9285714285714286
1,3,0.6428571428571428
1,4,0.7142857142857143
2,0,0.5714285714285714
2,1,0.5
2,2,0.5
2,3,0.9285714285714286
2,4,0.7142857142857143
3,0,0.7142857142857143
3,1,0.6428571428571429
3,2,0.42857142857142855
3,3,0.5
3,4,0.5
4,0,1.0
4,1,0.7857142857142857
4,2,0.7857142857142857
4,3,0.6428571428571428
4,4,0.8571428571428572
5,0,0.9285714285714286
5,1,0.8571428571428572
5,2,0.9285714285714286
5,3,0.7857142857142857
5,4,0.8571428571428572
6,0,0.7857142857142857
6,1,0.5714285714285714
6,2,0.7142857142857143
6,3,0.7142857142857143
6,4,0.6428571428571428
7,0,0.9285714285714286
7,1,0.7142857142857143
7,2,0.7857142857142857
7,3,0.6428571428571428
7,4,0.8571428571428572
8,0,0.8571428571428572
8,1,0.9285714285714286
8,2,0.5
8,3,0.5714285714285714
8,4,0.6428571428571428
9,0,0.9285714285714286
9,1,0.6428571428571428
9,2,0.6428571428571428
9,3,0.8571428571428572
9,4,0.6428571428571428
10,0,0.9285714285714286
10,1,0.7142857142857143
10,2,0.6428571428571428
10,3,0.8571428571428572
10,4,0.7857142857142857
11,0,0.7857142857142857
11,1,0.2857142857142857
11,2,0.5
11,3,0.6428571428571428
11,4,0.4285714285714286
12,0,0.8571428571428572
12,1,0.8571428571428572
12,2,0.8571428571428572
12,3,0.9285714285714286
12,4,0.7857142857142857
13,0,0.7142857142857143
13,1,0.6428571428571429
13,2,0.35714285714285715
13,3,0.5714285714285714
13,4,0.6428571428571429
14,0,0.5714285714285714
14,1,0.5714285714285714
14,2,0.5
14,3,0.6428571428571429
14,4,0.5
15,0,0.5714285714285714
15,1,0.42857142857142855
15,2,0.5
15,3,0.5714285714285714
15,4,0.5
16,0,0.7142857142857143
16,1,0.5714285714285714
16,2,0.5714285714285714
16,3,0.2857142857142857
16,4,0.5
17,0,0.7857142857142857
17,1,0.5714285714285714
17,2,0.5
17,3,0.4285714285714286
17,4,0.5714285714285714
18,0,0.5714285714285714
18,1,0.6428571428571428
18,2,0.5
18,3,0.7142857142857143
18,4,0.4285714285714286
19,0,0.6428571428571429
19,1,0.5714285714285714
19,2,0.5
19,3,0.6428571428571429
19,4,0.5714285714285714
20,0,0.5714285714285714
20,1,0.5714285714285714
20,2,0.7142857142857143
20,3,0.5
20,4,0.5
21,0,0.6428571428571428
21,1,0.7857142857142857
21,2,0.7857142857142857
21,3,0.7142857142857143
21,4,0.5714285714285714
22,0,0.6428571428571429
22,1,0.42857142857142855
22,2,0.42857142857142855
22,3,0.5
22,4,0.5714285714285714
23,0,0.4285714285714286
23,1,0.7857142857142857
23,2,0.7857142857142857
23,3,0.5714285714285714
23,4,0.7142857142857143
24,0,0.6428571428571429
24,1,0.42857142857142855
24,2,0.42857142857142855
24,3,0.5
24,4,0.7142857142857143
25,0,0.7142857142857143
25,1,0.6428571428571428
25,2,0.5
25,3,0.5
25,4,0.5714285714285714
26,0,0.6428571428571429
26,1,0.6428571428571429
26,2,0.6428571428571429
26,3,0.5714285714285714
26,4,0.5714285714285714
