layer,split,accuracy
1,0,0.5714285714285714
1,1,0.6428571428571428
1,2,0.6428571428571428
1,3,0.4285714285714286
1,4,0.5714285714285714
2,0,0.2857142857142857
2,1,0.9285714285714286
2,2,0.6428571428571428
2,3,0.5
2,4,0.5
3,0,0.4285714285714286
3,1,0.6428571428571428
3,2,0.7142857142857143
3,3,0.5
3,4,0.3571428571428571
4,0,0.5714285714285714
4,1,0.2857142857142857
4,2,0.6428571428571429
4,3,0.5
4,4,0.6428571428571429
5,0,0.5
5,1,0.5
5,2,0.42857142857142855
5,3,0.42857142857142855
5,4,0.7142857142857143
6,0,0.5714285714285714
6,1,0.5
6,2,0.5
6,3,0.7142857142857143
6,4,0.4285714285714286
7,0,0.7142857142857143
7,1,0.7142857142857143
7,2,0.5714285714285714
7,3,0.8571428571428572
7,4,0.7142857142857143
8,0,0.6428571428571428
8,1,0.5714285714285714
8,2,0.5
8,3,0.7857142857142857
8,4,0.5714285714285714
9,0,0.5
9,1,0.5714285714285714
9,2,0.6428571428571429
9,3,0.35714285714285715
9,4,0.6428571428571429
10,0,0.4285714285714286
10,1,0.5714285714285714
10,2,0.5
10,3,0.5714285714285714
10,4,0.5714285714285714
11,0,0.4285714285714286
11,1,0.7857142857142857
11,2,0.6428571428571428
11,3,0.7142857142857143
11,4,0.4285714285714286
12,0,0.7142857142857143
12,1,0.5
12,2,0.7142857142857143
12,3,0.5714285714285714
12,4,0.7142857142857143
13,0,0.5
13,1,0.7857142857142857
13,2,0.5
13,3,0.7857142857142857
13,4,0.42857142857142855
14,0,0.5714285714285714
14,1,0.8571428571428571
14,2,0.35714285714285715
14,3,0.7142857142857143
14,4,0.42857142857142855
15,0,0.6428571428571429
15,1,0.5714285714285714
15,2,0.35714285714285715
15,3,0.6428571428571429
15,4,0.42857142857142855
16,0,0.6428571428571429
16,1,0.6428571428571429
16,2,0.42857142857142855
16,3,0.7857142857142857
16,4,0.42857142857142855
17,0,0.7857142857142857
17,1,0.7142857142857143
17,2,0.5714285714285714
17,3,0.8571428571428571
17,4,0.5
18,0,0.7857142857142857
18,1,0.5714285714285714
18,2,0.5714285714285714
18,3,0.6428571428571428
18,4,0.8571428571428572
19,0,0.5714285714285714
19,1,0.5
19,2,0.5
19,3,0.6428571428571428
19,4,0.6428571428571428
20,0,0.7142857142857143
20,1,0.6428571428571428
20,2,0.5
20,3,0.8571428571428572
20,4,0.7857142857142857
21,0,0.7857142857142857
21,1,0.9285714285714286
21,2,0.6428571428571429
21,3,0.7142857142857143
21,4,0.6428571428571429
22,0,0.8571428571428571
22,1,0.7857142857142857
22,2,0.7142857142857143
22,3,0.8571428571428571
22,4,0.6428571428571429
23,0,0.42857142857142855
23,1,0.6428571428571429
23,2,0.6428571428571429
23,3,0.5714285714285714
23,4,0.6428571428571429
24,0,0.7142857142857143
24,1,0.9285714285714286
24,2,0.7857142857142857
24,3,0.6428571428571429
24,4,0.8571428571428571
25,0,0.42857142857142855
25,1,0.8571428571428571
25,2,0.7142857142857143
25,3,0.5714285714285714
25,4,0.7142857142857143
26,0,0.5
26,1,0.5714285714285714
26,2,0.6428571428571429
26,3,0.5
26,4,0.7142857142857143
27,0,0.8571428571428572
27,1,0.5714285714285714
27,2,0.7142857142857143
27,3,0.8571428571428572
27,4,0.7142857142857143
28,0,1.0
28,1,0.7142857142857143
28,2,0.7142857142857143
28,3,0.9285714285714286
28,4,0.8571428571428572
29,0,0.9285714285714286
29,1,0.5714285714285714
29,2,0.6428571428571428
29,3,0.8571428571428572
29,4,0.8571428571428572
30,0,0.7857142857142857
30,1,0.6428571428571428
30,2,0.7857142857142857
30,3,0.8571428571428572
30,4,0.7142857142857143
31,0,0.8571428571428572
31,1,0.7142857142857143
31,2,0.8571428571428572
31,3,1.0
31,4,0.7857142857142857
32,0,1.0
32,1,0.7857142857142857
32,2,0.9285714285714286
32,3,0.9285714285714286
32,4,0.7142857142857143
33,0,1.0
33,1,0.8571428571428572
33,2,0.7857142857142857
33,3,0.9285714285714286
33,4,0.7142857142857143
34,0,1.0
34,1,0.7857142857142857
34,2,0.8571428571428572
34,3,0.9285714285714286
34,4,0.7142857142857143
35,0,1.0
35,1,0.7857142857142857
35,2,0.8571428571428572
35,3,0.9285714285714286
35,4,0.8571428571428572
36,0,0.7142857142857143
36,1,0.7142857142857143
36,2,0.8571428571428572
36,3,0.7857142857142857
36,4,0.7142857142857143
37,0,1.0
37,1,0.8571428571428572
37,2,0.8571428571428572
37,3,0.8571428571428572
37,4,0.7857142857142857
38,0,1.0
38,1,0.7857142857142857
38,2,0.8571428571428572
38,3,0.9285714285714286
38,4,0.7857142857142857
39,0,1.0
39,1,0.8571428571428572
39,2,0.8571428571428572
39,3,0.9285714285714286
39,4,0.8571428571428572
40,0,0.7142857142857143
40,1,0.7142857142857143
40,2,0.7857142857142857
40,3,0.8571428571428572
40,4,0.6428571428571428
41,0,0.8571428571428572
41,1,0.5714285714285714
41,2,0.7857142857142857
41,3,0.9285714285714286
41,4,0.6428571428571428
42,0,0.6428571428571428
42,1,0.2857142857142857
42,2,0.4285714285714286
42,3,0.7142857142857143
42,4,0.6428571428571428
