,train_feature,fold,layer,condition,accuracy
0,improbable,0,0,improbable,0.42857142857142855
1,improbable,0,0,impossible,0.39285714285714285
2,improbable,0,0,inconceivable,0.35714285714285715
3,improbable,0,0,syntactic,0.6785714285714286
4,improbable,0,0,train,0.7857142857142857
5,improbable,0,1,improbable,0.42857142857142855
6,improbable,0,1,impossible,0.4642857142857143
7,improbable,0,1,inconceivable,0.6785714285714286
8,improbable,0,1,syntactic,0.6785714285714286
9,improbable,0,1,train,0.7767857142857143
10,improbable,0,2,improbable,0.5714285714285714
11,improbable,0,2,impossible,0.4642857142857143
12,improbable,0,2,inconceivable,0.75
13,improbable,0,2,syntactic,0.6428571428571429
14,improbable,0,2,train,0.8392857142857143
15,improbable,0,3,improbable,0.4642857142857143
16,improbable,0,3,impossible,0.7857142857142857
17,improbable,0,3,inconceivable,0.8928571428571429
18,improbable,0,3,syntactic,0.8571428571428571
19,improbable,0,3,train,0.7767857142857143
20,improbable,0,4,improbable,0.5714285714285714
21,improbable,0,4,impossible,0.7142857142857143
22,improbable,0,4,inconceivable,0.9285714285714286
23,improbable,0,4,syntactic,0.9642857142857143
24,improbable,0,4,train,0.8214285714285714
25,improbable,0,5,improbable,0.6428571428571429
26,improbable,0,5,impossible,0.8571428571428571
27,improbable,0,5,inconceivable,0.9285714285714286
28,improbable,0,5,syntactic,0.9642857142857143
29,improbable,0,5,train,0.8125
30,improbable,0,6,improbable,0.7142857142857143
31,improbable,0,6,impossible,0.7857142857142857
32,improbable,0,6,inconceivable,0.9285714285714286
33,improbable,0,6,syntactic,0.9285714285714286
34,improbable,0,6,train,0.8125
35,improbable,0,7,improbable,0.6071428571428571
36,improbable,0,7,impossible,0.75
37,improbable,0,7,inconceivable,0.7142857142857143
38,improbable,0,7,syntactic,0.6785714285714286
39,improbable,0,7,train,0.8392857142857143
40,improbable,0,8,improbable,0.5714285714285714
41,improbable,0,8,impossible,0.8214285714285714
42,improbable,0,8,inconceivable,0.75
43,improbable,0,8,syntactic,0.7142857142857143
44,improbable,0,8,train,0.8035714285714286
45,improbable,0,9,improbable,0.6785714285714286
46,improbable,0,9,impossible,0.8214285714285714
47,improbable,0,9,inconceivable,0.9642857142857143
48,improbable,0,9,syntactic,0.9285714285714286
49,improbable,0,9,train,0.7946428571428571
50,improbable,0,10,improbable,0.75
51,improbable,0,10,impossible,0.9642857142857143
52,improbable,0,10,inconceivable,0.8571428571428571
53,improbable,0,10,syntactic,0.75
54,improbable,0,10,train,0.8392857142857143
55,improbable,0,11,improbable,0.6428571428571429
56,improbable,0,11,impossible,0.9285714285714286
57,improbable,0,11,inconceivable,0.9642857142857143
58,improbable,0,11,syntactic,0.9642857142857143
59,improbable,0,11,train,0.8214285714285714
60,improbable,0,12,improbable,0.6785714285714286
61,improbable,0,12,impossible,0.8571428571428571
62,improbable,0,12,inconceivable,0.8571428571428571
63,improbable,0,12,syntactic,0.7857142857142857
64,improbable,0,12,train,0.8482142857142857
65,improbable,0,13,improbable,0.6785714285714286
66,improbable,0,13,impossible,0.9285714285714286
67,improbable,0,13,inconceivable,0.8928571428571429
68,improbable,0,13,syntactic,0.75
69,improbable,0,13,train,0.8482142857142857
70,improbable,0,14,improbable,0.6428571428571429
71,improbable,0,14,impossible,0.8928571428571429
72,improbable,0,14,inconceivable,0.8928571428571429
73,improbable,0,14,syntactic,0.6785714285714286
74,improbable,0,14,train,0.8571428571428571
75,improbable,0,15,improbable,0.8214285714285714
76,improbable,0,15,impossible,0.9642857142857143
77,improbable,0,15,inconceivable,0.6785714285714286
78,improbable,0,15,syntactic,0.6428571428571429
79,improbable,0,15,train,0.8660714285714286
80,improbable,0,16,improbable,0.6785714285714286
81,improbable,0,16,impossible,0.9285714285714286
82,improbable,0,16,inconceivable,0.8571428571428571
83,improbable,0,16,syntactic,0.6071428571428571
84,improbable,0,16,train,0.8482142857142857
85,improbable,0,17,improbable,0.6071428571428571
86,improbable,0,17,impossible,0.75
87,improbable,0,17,inconceivable,0.75
88,improbable,0,17,syntactic,0.6428571428571429
89,improbable,0,17,train,0.8035714285714286
90,improbable,0,18,improbable,0.7857142857142857
91,improbable,0,18,impossible,0.8928571428571429
92,improbable,0,18,inconceivable,0.7142857142857143
93,improbable,0,18,syntactic,0.7142857142857143
94,improbable,0,18,train,0.8214285714285714
95,improbable,0,19,improbable,0.7142857142857143
96,improbable,0,19,impossible,0.8214285714285714
97,improbable,0,19,inconceivable,0.7857142857142857
98,improbable,0,19,syntactic,0.6785714285714286
99,improbable,0,19,train,0.8303571428571429
100,improbable,0,20,improbable,0.6785714285714286
101,improbable,0,20,impossible,0.8928571428571429
102,improbable,0,20,inconceivable,0.7857142857142857
103,improbable,0,20,syntactic,0.8214285714285714
104,improbable,0,20,train,0.8214285714285714
105,improbable,0,21,improbable,0.6785714285714286
106,improbable,0,21,impossible,0.7857142857142857
107,improbable,0,21,inconceivable,0.7857142857142857
108,improbable,0,21,syntactic,0.75
109,improbable,0,21,train,0.8303571428571429
110,improbable,0,22,improbable,0.7142857142857143
111,improbable,0,22,impossible,0.8571428571428571
112,improbable,0,22,inconceivable,0.7857142857142857
113,improbable,0,22,syntactic,0.6428571428571429
114,improbable,0,22,train,0.8214285714285714
115,improbable,0,23,improbable,0.6071428571428571
116,improbable,0,23,impossible,0.7142857142857143
117,improbable,0,23,inconceivable,0.75
118,improbable,0,23,syntactic,0.6428571428571429
119,improbable,0,23,train,0.8392857142857143
120,improbable,0,24,improbable,0.6428571428571429
121,improbable,0,24,impossible,0.8571428571428571
122,improbable,0,24,inconceivable,0.8571428571428571
123,improbable,0,24,syntactic,0.8214285714285714
124,improbable,0,24,train,0.8125
125,improbable,0,25,improbable,0.7142857142857143
126,improbable,0,25,impossible,0.8214285714285714
127,improbable,0,25,inconceivable,0.7857142857142857
128,improbable,0,25,syntactic,0.8214285714285714
129,improbable,0,25,train,0.8035714285714286
130,impossible,0,0,improbable,0.5357142857142857
131,impossible,0,0,impossible,0.5
132,impossible,0,0,inconceivable,0.6428571428571429
133,impossible,0,0,syntactic,0.5357142857142857
134,impossible,0,0,train,0.7857142857142857
135,impossible,0,1,improbable,0.6785714285714286
136,impossible,0,1,impossible,0.6428571428571429
137,impossible,0,1,inconceivable,0.8571428571428571
138,impossible,0,1,syntactic,0.6785714285714286
139,impossible,0,1,train,0.8571428571428571
140,impossible,0,2,improbable,0.5
141,impossible,0,2,impossible,0.7142857142857143
142,impossible,0,2,inconceivable,0.6785714285714286
143,impossible,0,2,syntactic,0.9285714285714286
144,impossible,0,2,train,0.7767857142857143
145,impossible,0,3,improbable,0.5
146,impossible,0,3,impossible,0.75
147,impossible,0,3,inconceivable,0.8571428571428571
148,impossible,0,3,syntactic,0.9285714285714286
149,impossible,0,3,train,0.8392857142857143
150,impossible,0,4,improbable,0.6071428571428571
151,impossible,0,4,impossible,0.6428571428571429
152,impossible,0,4,inconceivable,0.9285714285714286
153,impossible,0,4,syntactic,1.0
154,impossible,0,4,train,0.8392857142857143
155,impossible,0,5,improbable,0.6428571428571429
156,impossible,0,5,impossible,0.7857142857142857
157,impossible,0,5,inconceivable,0.9285714285714286
158,impossible,0,5,syntactic,0.9642857142857143
159,impossible,0,5,train,0.875
160,impossible,0,6,improbable,0.6428571428571429
161,impossible,0,6,impossible,0.75
162,impossible,0,6,inconceivable,0.9285714285714286
163,impossible,0,6,syntactic,1.0
164,impossible,0,6,train,0.875
165,impossible,0,7,improbable,0.6785714285714286
166,impossible,0,7,impossible,0.8214285714285714
167,impossible,0,7,inconceivable,0.9285714285714286
168,impossible,0,7,syntactic,0.9642857142857143
169,impossible,0,7,train,0.9107142857142857
170,impossible,0,8,improbable,0.5714285714285714
171,impossible,0,8,impossible,0.8571428571428571
172,impossible,0,8,inconceivable,0.9642857142857143
173,impossible,0,8,syntactic,1.0
174,impossible,0,8,train,0.9196428571428571
175,impossible,0,9,improbable,0.5714285714285714
176,impossible,0,9,impossible,0.8214285714285714
177,impossible,0,9,inconceivable,1.0
178,impossible,0,9,syntactic,1.0
179,impossible,0,9,train,0.8839285714285714
180,impossible,0,10,improbable,0.5714285714285714
181,impossible,0,10,impossible,0.9285714285714286
182,impossible,0,10,inconceivable,0.9642857142857143
183,impossible,0,10,syntactic,1.0
184,impossible,0,10,train,0.9107142857142857
185,impossible,0,11,improbable,0.5
186,impossible,0,11,impossible,0.9642857142857143
187,impossible,0,11,inconceivable,0.9642857142857143
188,impossible,0,11,syntactic,1.0
189,impossible,0,11,train,0.9285714285714286
190,impossible,0,12,improbable,0.6428571428571429
191,impossible,0,12,impossible,0.9642857142857143
192,impossible,0,12,inconceivable,0.9642857142857143
193,impossible,0,12,syntactic,1.0
194,impossible,0,12,train,0.9285714285714286
195,impossible,0,13,improbable,0.7142857142857143
196,impossible,0,13,impossible,0.8928571428571429
197,impossible,0,13,inconceivable,1.0
198,impossible,0,13,syntactic,1.0
199,impossible,0,13,train,0.9285714285714286
