sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,2.17303923106597,-1.7221254675729092,-3.675149676302124,-1.7221254675729092,0.48747524443981005
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,4.555715648288363,-0.8177865395381954,-1.9097006071967946,-0.8177865395381954,2.2087812562949685
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,3.9212236332371972,-0.26610696187522,-3.0629557569444152,-0.26610696187522,2.545002971378539
A door being a multiple of 5.,far,0.0,1.0,2.8949165944224537,-0.15471173045450737,-1.1278409955981674,-0.15471173045450737,3.0581888175118417
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,3.3751979907910594,0.4808576313043955,-2.133730018325389,0.4808576313043955,4.903187123647994
A girl writing a play.,probable,1.0,0.0,5.289276079297798,0.478016401472136,-1.1251351815968378,0.478016401472136,0.9233443602537958
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,3.471846786504794,-1.7193132404648308,-0.9527458260382787,-1.7193132404648308,3.110292718859485
A kilogram writing a play.,far,0.0,1.0,5.407137837972287,-0.39504624623545337,1.2074903247743722,-0.39504624623545337,3.2953704037697387
A liter being a multiple of 5.,near,0.75,0.25,2.1319530704303915,-0.6931738175613489,-1.1553847853234636,-0.6931738175613489,3.255045926311829
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,4.518308680908574,-0.1991523238019023,-0.5247723495423547,-0.1991523238019023,4.2681975914092405
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,4.262287164139968,-0.15634508711719952,-1.434266244824958,-0.15634508711719952,1.405222279702948
A man feeling regretful.,probable,1.0,0.0,4.34673577392128,1.0069639644610784,-2.8873941259240885,1.0069639644610784,2.5752785971100227
A mile being surprised by a news article.,far,0.0,1.0,3.1238995119978217,1.0384798190706972,-2.1955824190952953,1.0384798190706972,5.467967096917837
A pill being amused by a tv show.,near,0.2,0.8,4.715675879607602,-1.1357967462689036,-3.0017866693447197,-1.1357967462689036,1.4953097293280573
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,2.5892970174632097,-0.7515962511154508,-1.0936060726631531,-0.7515962511154508,3.324245842088829
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,4.544307663448122,-0.7549437330182607,0.22787618255181208,-0.7549437330182607,2.5762666296862236
A shirt being surprised by a news article.,near,0.2,0.8,2.149029031959519,-0.8418469973868608,-2.6350600504176755,-0.8418469973868608,3.803188985206525
A teenager being surprised by a news article.,probable,1.0,0.0,2.758219137308407,0.6022068182640998,-2.7098820883256773,0.6022068182640998,3.328829368479275
A toddler being amused by a tv show.,probable,1.0,0.0,5.162562648835116,-1.406952931153095,-2.7041482097324767,-1.406952931153095,1.2251193951878052
A wall being entertained by a podcast.,near,0.25,0.75,2.305155892447968,-1.3620326896869215,-2.595720200395543,-1.3620326896869215,1.6543650982053282
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,2.0587665469404035,-1.060207618307837,-2.8242234608649506,-1.060207618307837,2.8729751717519525
A woman applying for a job.,probable,1.0,0.0,3.25942641220582,-1.3680206579774479,-3.66405369791234,-1.3680206579774479,-0.8185329676298594
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,3.8132929463893652,-0.6796063716304651,-2.999972455165812,-0.6796063716304651,1.5370025496435173
Adding a boy to 79.,far,0.0,1.0,3.135017240956935,-4.003456799564094,-1.045418066414617,-4.003456799564094,-0.11257048156506
Adding a wall to 79.,far,0.0,1.0,2.290998856959341,-2.604174015351313,-2.61772824978072,-2.604174015351313,0.6406753645667763
Adding a week to 79.,near,0.4166666666666667,0.5833333333333334,3.5624134465499964,-2.826145080844074,-0.6441778569316896,-2.826145080844074,-0.11174152508814528
An inch applying for a job.,far,0.0714285714285714,0.9285714285714286,5.512525530904659,-0.5034958323520151,-1.4024949114392566,-0.5034958323520151,1.3969897770763102
Dividing 12 by a mile.,near,0.125,0.875,7.961617058127336,0.6668335890691592,1.8471552465704135,0.6668335890691592,4.562538896785114
Dividing 12 by a shirt.,far,0.0769230769230769,0.9230769230769232,7.782017390882418,-0.2470102457932638,0.612273403597371,-0.2470102457932638,4.492503453230138
Dividing 12 by a teenager.,far,0.0,1.0,7.165582533648654,-0.40414841866591567,0.6512447615043989,-0.40414841866591567,3.1247389225735835
Dividing 12 by the number 4.,probable,0.8,0.2,3.1428798031208762,-1.8112259670431299,-0.609533437413188,-1.8112259670431299,0.2611707787951987
Taking the square root of a month.,near,0.2222222222222222,0.7777777777777778,3.4891897382698818,-0.46871720301069986,-3.1963436239651983,-0.46871720301069986,2.7504780687696924
Taking the square root of a pill.,far,0.1111111111111111,0.8888888888888888,5.085817954835864,-0.9344366892874802,-1.1536803174994246,-0.9344366892874802,2.8652407063576772
Taking the square root of a toddler.,far,0.0,1.0,5.2161369433404285,-0.5236822159975028,-0.8938939282058671,-0.5236822159975028,3.0597811861107624
The number 10 being a multiple of 5.,probable,0.9230769230769232,0.0769230769230769,4.82720021413595,-1.036314892838138,-0.7296219751349466,-1.036314892838138,3.7859388486954604
The number 10 feeling regretful.,far,0.25,0.75,5.666353277348945,0.5520111944003889,-0.8298462778356077,0.5520111944003889,4.481107835353054
The number 12 applying for a job.,far,0.3,0.7,7.8665713175101954,-1.7903372970395823,0.2959529586636672,-1.7903372970395823,2.0137777786063125
The number 12 being greater than 10.,probable,0.8888888888888888,0.1111111111111111,4.785531515392294,-1.8261879784037423,0.21605117894763692,-1.8261879784037423,1.8160576029734692
The number 13 being a prime number.,probable,0.8823529411764706,0.1176470588235294,3.312735650248679,-2.8337111294237634,-1.6919266649563602,-2.8337111294237634,2.413963446234015
The number 13 writing a play.,far,0.0,1.0,-0.3783095669808889,-0.47028283072292876,-3.4419613432772778,-0.47028283072292876,-0.0180031737816595
The number 16 being amused by a tv show.,far,0.1,0.9,5.588534416231764,-1.7244484231362756,-1.0952044917133354,-1.7244484231362756,3.130949612655704
The number 20 being entertained by a podcast.,far,0.2727272727272727,0.7272727272727273,4.826929275532837,-0.7872005599276359,-1.2139780117363903,-0.7872005599276359,3.819798356484052
The number 4 being surprised by a news article.,far,0.0833333333333333,0.9166666666666666,5.292254688079552,0.47131374634774326,-0.14263643196498,0.47131374634774326,5.028590012397779
