layer,split,accuracy
1,0,0.5
1,1,0.6428571428571429
1,2,0.8571428571428571
1,3,0.5714285714285714
1,4,0.7142857142857143
2,0,0.5714285714285714
2,1,0.7142857142857143
2,2,0.5
2,3,0.42857142857142855
2,4,0.6428571428571429
3,0,0.7142857142857143
3,1,0.6428571428571429
3,2,0.7857142857142857
3,3,0.7142857142857143
3,4,0.8571428571428571
4,0,0.5
4,1,0.7142857142857143
4,2,0.5
4,3,0.5714285714285714
4,4,0.4285714285714286
5,0,0.6428571428571429
5,1,0.2857142857142857
5,2,0.7142857142857143
5,3,0.6428571428571429
5,4,0.5714285714285714
6,0,0.7857142857142857
6,1,0.7142857142857143
6,2,0.7142857142857143
6,3,0.7142857142857143
6,4,0.5
7,0,0.6428571428571429
7,1,0.42857142857142855
7,2,0.7857142857142857
7,3,0.5714285714285714
7,4,0.6428571428571429
8,0,0.6428571428571429
8,1,0.5714285714285714
8,2,0.6428571428571429
8,3,0.6428571428571429
8,4,0.7142857142857143
9,0,0.7142857142857143
9,1,0.6428571428571429
9,2,0.7142857142857143
9,3,0.6428571428571429
9,4,0.7857142857142857
10,0,0.7142857142857143
10,1,0.7857142857142857
10,2,0.7142857142857143
10,3,0.7142857142857143
10,4,1.0
11,0,0.7857142857142857
11,1,0.5714285714285714
11,2,0.7142857142857143
11,3,0.6428571428571429
11,4,0.7142857142857143
12,0,0.7857142857142857
12,1,0.7142857142857143
12,2,0.7857142857142857
12,3,0.6428571428571429
12,4,0.6428571428571429
13,0,0.8571428571428571
13,1,0.7142857142857143
13,2,0.7142857142857143
13,3,0.35714285714285715
13,4,0.42857142857142855
14,0,0.5714285714285714
14,1,0.5714285714285714
14,2,0.7142857142857143
14,3,0.6428571428571429
14,4,0.5714285714285714
15,0,0.7142857142857143
15,1,0.6428571428571429
15,2,0.7857142857142857
15,3,0.6428571428571429
15,4,0.42857142857142855
16,0,0.7142857142857143
16,1,0.5
16,2,0.5
16,3,0.5714285714285714
16,4,0.7142857142857143
17,0,0.7857142857142857
17,1,0.5714285714285714
17,2,0.6428571428571429
17,3,0.42857142857142855
17,4,0.5
18,0,0.3571428571428571
18,1,0.6428571428571428
18,2,0.4285714285714286
18,3,0.5714285714285714
18,4,0.6428571428571428
19,0,0.5
19,1,0.4285714285714286
19,2,0.2857142857142857
19,3,0.5714285714285714
19,4,0.7857142857142857
20,0,0.7857142857142857
20,1,0.5714285714285714
20,2,0.5
20,3,0.6428571428571428
20,4,0.7857142857142857
21,0,0.5
21,1,0.4285714285714286
21,2,0.5714285714285714
21,3,0.5714285714285714
21,4,0.5714285714285714
22,0,0.7142857142857143
22,1,0.7142857142857143
22,2,0.5
22,3,0.7142857142857143
22,4,0.5
23,0,0.5714285714285714
23,1,0.5
23,2,0.4285714285714286
23,3,0.7142857142857143
23,4,0.5
24,0,0.5714285714285714
24,1,0.5
24,2,0.5
24,3,0.5714285714285714
24,4,0.6428571428571428
25,0,0.7857142857142857
25,1,0.6428571428571428
25,2,0.6428571428571428
25,3,0.6428571428571428
25,4,0.5714285714285714
26,0,0.7857142857142857
26,1,0.8571428571428572
26,2,0.6428571428571428
26,3,0.7142857142857143
26,4,0.5714285714285714
27,0,0.5
27,1,0.21428571428571427
27,2,0.5
27,3,0.6428571428571429
27,4,0.6428571428571429
28,0,0.6428571428571429
28,1,0.5
28,2,0.42857142857142855
28,3,0.5
28,4,0.5714285714285714
