sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,-177.2615509033203,-22.835365295410156,-94.22711944580078,-22.835365295410156,-22.44386100769043
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,-230.2025146484375,-23.22700309753418,-89.91632080078125,-23.22700309753418,-22.737974166870117
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,-364.5459289550781,-17.938034057617188,-96.0625228881836,-17.938034057617188,-18.618667602539062
A door being a multiple of 5.,far,0.0,1.0,-288.8370056152344,-16.487865447998047,-97.00639343261719,-16.487865447998047,-17.104707717895508
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,-194.8956298828125,-17.32899284362793,-92.35433959960938,-17.32899284362793,-18.677196502685547
A girl writing a play.,probable,1.0,0.0,-209.17758178710938,-22.858043670654297,-93.76727294921875,-22.858043670654297,-22.72597885131836
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,-257.7454528808594,-18.859756469726562,-97.33977508544922,-18.859756469726562,-18.09200668334961
A kilogram writing a play.,far,0.0,1.0,-179.17250061035156,-19.587209701538086,-95.72559356689453,-19.587209701538086,-20.32486343383789
A liter being a multiple of 5.,near,0.75,0.25,-332.15264892578125,-16.01032066345215,-97.91165161132812,-16.01032066345215,-16.290691375732422
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,-235.2270965576172,-15.996511459350586,-90.85845947265625,-15.996511459350586,-17.490522384643555
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,-328.40069580078125,-16.10607147216797,-97.52120208740234,-16.10607147216797,-17.320173263549805
A man feeling regretful.,probable,1.0,0.0,-201.9860382080078,-20.2315731048584,-90.90414428710938,-20.2315731048584,-20.847400665283203
A mile being surprised by a news article.,far,0.0,1.0,-208.21682739257812,-20.008737564086914,-90.35964965820312,-20.008737564086914,-20.779773712158203
A pill being amused by a tv show.,near,0.2,0.8,-254.2572479248047,-22.81432342529297,-94.31204986572266,-22.81432342529297,-22.469453811645508
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,-305.4060363769531,-19.907352447509766,-99.23445892333984,-19.907352447509766,-18.559648513793945
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,-220.45510864257812,-21.597946166992188,-98.12394714355469,-21.597946166992188,-20.992990493774414
A shirt being surprised by a news article.,near,0.2,0.8,-211.56008911132812,-26.946895599365234,-93.31597137451172,-26.946895599365234,-25.848892211914062
A teenager being surprised by a news article.,probable,1.0,0.0,-212.66639709472656,-25.271930694580078,-89.98112487792969,-25.271930694580078,-24.654733657836914
A toddler being amused by a tv show.,probable,1.0,0.0,-203.2196807861328,-23.62948226928711,-91.49136352539062,-23.62948226928711,-23.05185890197754
A wall being entertained by a podcast.,near,0.25,0.75,-176.24411010742188,-23.8548641204834,-96.60694122314453,-23.8548641204834,-22.358863830566406
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,-209.0423126220703,-17.68507194519043,-91.21963500976562,-17.68507194519043,-17.843935012817383
A woman applying for a job.,probable,1.0,0.0,-175.37269592285156,-25.76523208618164,-87.09233856201172,-25.76523208618164,-24.975112915039062
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,-247.17918395996094,-17.14007568359375,-95.6591796875,-17.14007568359375,-18.942304611206055
Adding a boy to 79.,far,0.0,1.0,-160.6378173828125,-16.513750076293945,-93.64366149902344,-16.513750076293945,-17.15000343322754
Adding a wall to 79.,far,0.0,1.0,-256.1061706542969,-17.108457565307617,-95.09123992919922,-17.108457565307617,-17.24071502685547
