layer,split,accuracy
1,0,0.5714285714285714
1,1,0.2857142857142857
1,2,0.6428571428571428
1,3,0.6428571428571428
1,4,0.5714285714285714
2,0,0.6428571428571429
2,1,0.7142857142857143
2,2,0.5714285714285714
2,3,0.5
2,4,0.5714285714285714
3,0,0.4285714285714286
3,1,0.5
3,2,0.5
3,3,0.5714285714285714
3,4,0.5714285714285714
4,0,0.4285714285714286
4,1,0.5
4,2,0.5
4,3,0.7142857142857143
4,4,0.5714285714285714
5,0,0.6428571428571429
5,1,0.6428571428571429
5,2,0.42857142857142855
5,3,0.5714285714285714
5,4,0.5
6,0,0.7857142857142857
6,1,1.0
6,2,0.9285714285714286
6,3,0.7857142857142857
6,4,0.7142857142857143
7,0,0.7142857142857143
7,1,0.6428571428571429
7,2,0.7142857142857143
7,3,0.6428571428571429
7,4,0.7142857142857143
8,0,0.7142857142857143
8,1,0.7857142857142857
8,2,0.6428571428571428
8,3,0.7142857142857143
8,4,0.6428571428571428
9,0,0.42857142857142855
9,1,0.5714285714285714
9,2,0.5
9,3,0.5714285714285714
9,4,0.5714285714285714
10,0,0.8571428571428572
10,1,0.7142857142857143
10,2,0.9285714285714286
10,3,0.8571428571428572
10,4,0.9285714285714286
11,0,0.5
11,1,0.3571428571428571
11,2,0.5714285714285714
11,3,0.5
11,4,0.5714285714285714
12,0,0.9285714285714286
12,1,0.7142857142857143
12,2,0.7142857142857143
12,3,0.7142857142857143
12,4,0.7142857142857143
13,0,0.7142857142857143
13,1,0.5
13,2,0.7142857142857143
13,3,0.4285714285714286
13,4,0.6428571428571428
14,0,0.6428571428571428
14,1,0.3571428571428571
14,2,0.6428571428571428
14,3,0.5
14,4,0.6428571428571428
15,0,0.5
15,1,0.5714285714285714
15,2,0.5
15,3,0.4285714285714286
15,4,0.6428571428571428
16,0,0.7142857142857143
16,1,0.42857142857142855
16,2,0.5714285714285714
16,3,0.7142857142857143
16,4,0.35714285714285715
17,0,0.7857142857142857
17,1,0.5
17,2,0.7142857142857143
17,3,0.5714285714285714
17,4,0.5
18,0,0.5714285714285714
18,1,0.6428571428571428
18,2,0.5714285714285714
18,3,0.4285714285714286
18,4,0.6428571428571428
19,0,0.5714285714285714
19,1,0.5
19,2,0.7857142857142857
19,3,0.7857142857142857
19,4,0.35714285714285715
20,0,0.6428571428571428
20,1,0.5714285714285714
20,2,0.6428571428571428
20,3,0.6428571428571428
20,4,0.8571428571428572
21,0,0.5714285714285714
21,1,0.6428571428571429
21,2,0.6428571428571429
21,3,0.7142857142857143
21,4,0.42857142857142855
22,0,0.4285714285714286
22,1,0.2857142857142857
22,2,0.5
22,3,0.7857142857142857
22,4,0.7142857142857143
23,0,0.5
23,1,0.7857142857142857
23,2,0.7142857142857143
23,3,0.6428571428571428
23,4,0.8571428571428572
24,0,0.8571428571428571
24,1,0.42857142857142855
24,2,0.7142857142857143
24,3,0.5
24,4,0.7857142857142857
