sentence,label,probable,inconceivable,probable_improbable,improbable_impossible,impossible_inconceivable,probable_impossible,probable_inconceivable
A boy being entertained by a podcast.,probable,1.0,0.0,-25.223743438720703,-5.403374671936035,-301.50531005859375,-5.403374671936035,-36.49049377441406
A crumb applying for a job.,near,0.3333333333333333,0.6666666666666666,-31.441335678100586,-5.0916314125061035,-388.2108154296875,-5.0916314125061035,-46.506099700927734
A crumb being greater than 10.,far,0.1333333333333333,0.8666666666666667,-26.353328704833984,-4.147547245025635,-58.49601745605469,-4.147547245025635,-7.1428985595703125
A door being a multiple of 5.,far,0.0,1.0,-28.55894660949707,-3.785942554473877,-99.85301971435547,-3.785942554473877,-12.141191482543945
A door feeling regretful.,near,0.2857142857142857,0.7142857142857143,-39.868934631347656,-4.428778171539307,-568.5274047851562,-4.428778171539307,-41.54545593261719
A girl writing a play.,probable,1.0,0.0,-31.02867889404297,-5.213687896728516,-431.1018371582031,-5.213687896728516,-53.44989013671875
A kilogram being a prime number.,near,0.4444444444444444,0.5555555555555556,-38.44091796875,-5.023401260375977,-390.9351806640625,-5.023401260375977,-35.547332763671875
A kilogram writing a play.,far,0.0,1.0,-31.65945816040039,-4.972336292266846,-512.9324951171875,-4.972336292266846,-47.34906768798828
A liter being a multiple of 5.,near,0.75,0.25,-31.816556930541992,-3.635011672973633,-100.7542724609375,-3.635011672973633,-12.731683731079102
A liter feeling regretful.,far,0.1428571428571428,0.8571428571428571,-40.411766052246094,-4.515746593475342,-581.1448974609375,-4.515746593475342,-44.34954833984375
A man being a multiple of 5.,far,0.2222222222222222,0.7777777777777778,-28.82978057861328,-3.5785417556762695,-73.4940185546875,-3.5785417556762695,-4.446505546569824
A man feeling regretful.,probable,1.0,0.0,-32.623451232910156,-4.799685478210449,-471.17840576171875,-4.799685478210449,-41.00659942626953
A mile being surprised by a news article.,far,0.0,1.0,-32.95328903198242,-4.489850044250488,-570.4910278320312,-4.489850044250488,-46.5100212097168
A pill being amused by a tv show.,near,0.2,0.8,-32.70083236694336,-4.306815147399902,-503.54656982421875,-4.306815147399902,-49.35102844238281
A rock being a prime number.,far,0.0833333333333333,0.9166666666666666,-35.805763244628906,-4.246355056762695,-243.90084838867188,-4.246355056762695,-26.965862274169922
A rock writing a play.,near,0.2727272727272727,0.7272727272727273,-35.249515533447266,-4.752590656280518,-500.9079895019531,-4.752590656280518,-46.512001037597656
A shirt being surprised by a news article.,near,0.2,0.8,-29.342208862304688,-4.732744216918945,-381.80169677734375,-4.732744216918945,-40.92503356933594
A teenager being surprised by a news article.,probable,1.0,0.0,-28.271411895751953,-5.290489673614502,-308.119873046875,-5.290489673614502,-36.812923431396484
A toddler being amused by a tv show.,probable,1.0,0.0,-35.474334716796875,-4.936232089996338,-692.7763671875,-4.936232089996338,-50.84584045410156
A wall being entertained by a podcast.,near,0.25,0.75,-29.98898696899414,-5.409392833709717,-392.34429931640625,-5.409392833709717,-36.881534576416016
A week being entertained by a podcast.,far,0.5454545454545454,0.4545454545454545,-38.733253479003906,-5.685357570648193,-696.9932861328125,-5.685357570648193,-46.73877716064453
A woman applying for a job.,probable,1.0,0.0,-30.721654891967773,-4.799577713012695,-264.3656005859375,-4.799577713012695,-35.906185150146484
A woman being greater than 10.,far,0.4666666666666667,0.5333333333333333,-27.18942642211914,-4.586004257202148,-99.73165893554688,-4.586004257202148,-6.7950119972229
Adding a boy to 79.,far,0.0,1.0,-28.151660919189453,-2.3239870071411133,-70.25103759765625,-2.3239870071411133,-8.409578323364258
Adding a wall to 79.,far,0.0,1.0,-23.30849838256836,-2.47670316696167,-48.484737396240234,-2.47670316696167,-3.367921829223633
Adding a week to 79.,near,0.4166666666666667,0.5833333333333334,-26.82097053527832,-2.006798267364502,-36.6046257019043,-2.006798267364502,-4.39046573638916
