layer,split,accuracy
0,0,0.5
0,1,0.35714285714285715
0,2,0.21428571428571427
0,3,0.07142857142857142
0,4,0.2857142857142857
1,0,0.7142857142857143
1,1,0.7857142857142857
1,2,0.9285714285714286
1,3,0.9285714285714286
1,4,0.7857142857142857
2,0,0.8571428571428571
2,1,0.8571428571428571
2,2,0.8571428571428571
2,3,1.0
2,4,0.9285714285714286
3,0,1.0
3,1,0.8571428571428571
3,2,0.8571428571428571
3,3,1.0
3,4,0.9285714285714286
4,0,0.9285714285714286
4,1,0.8571428571428571
4,2,0.8571428571428571
4,3,1.0
4,4,0.9285714285714286
5,0,1.0
5,1,0.8571428571428571
5,2,0.8571428571428571
5,3,1.0
5,4,0.9285714285714286
6,0,1.0
6,1,0.8571428571428571
6,2,0.8571428571428571
6,3,1.0
6,4,0.9285714285714286
7,0,1.0
7,1,1.0
7,2,0.9285714285714286
7,3,1.0
7,4,0.9285714285714286
8,0,1.0
8,1,1.0
8,2,1.0
8,3,1.0
8,4,1.0
9,0,1.0
9,1,1.0
9,2,1.0
9,3,1.0
9,4,1.0
10,0,1.0
10,1,1.0
10,2,1.0
10,3,1.0
10,4,1.0
11,0,1.0
11,1,1.0
11,2,1.0
11,3,1.0
11,4,1.0
12,0,1.0
12,1,1.0
12,2,1.0
12,3,1.0
12,4,1.0
13,0,1.0
13,1,1.0
13,2,1.0
13,3,1.0
13,4,1.0
14,0,1.0
14,1,0.9285714285714286
14,2,1.0
14,3,1.0
14,4,1.0
15,0,1.0
15,1,0.9285714285714286
15,2,1.0
15,3,1.0
15,4,1.0
16,0,1.0
16,1,1.0
16,2,1.0
16,3,1.0
16,4,1.0
17,0,1.0
17,1,1.0
17,2,1.0
17,3,1.0
17,4,1.0
18,0,1.0
18,1,1.0
18,2,1.0
18,3,1.0
18,4,1.0
19,0,1.0
19,1,1.0
19,2,1.0
19,3,1.0
19,4,1.0
20,0,1.0
20,1,1.0
20,2,1.0
20,3,1.0
20,4,1.0
21,0,1.0
21,1,1.0
21,2,1.0
21,3,1.0
21,4,1.0
22,0,1.0
22,1,1.0
22,2,1.0
22,3,1.0
22,4,1.0
23,0,1.0
23,1,1.0
23,2,1.0
23,3,1.0
23,4,1.0
24,0,1.0
24,1,1.0
24,2,1.0
24,3,1.0
24,4,1.0
25,0,1.0
25,1,1.0
25,2,1.0
25,3,1.0
25,4,1.0
26,0,1.0
26,1,1.0
26,2,1.0
26,3,1.0
26,4,1.0
27,0,1.0
27,1,1.0
27,2,1.0
27,3,1.0
27,4,1.0
28,0,1.0
28,1,1.0
28,2,1.0
28,3,1.0
28,4,1.0
29,0,1.0
29,1,1.0
29,2,1.0
29,3,1.0
29,4,1.0
30,0,1.0
30,1,1.0
30,2,1.0
30,3,1.0
30,4,1.0
31,0,1.0
31,1,1.0
31,2,1.0
31,3,1.0
31,4,1.0
32,0,1.0
32,1,0.9285714285714286
32,2,1.0
32,3,1.0
32,4,1.0
33,0,1.0
33,1,0.9285714285714286
33,2,1.0
33,3,1.0
33,4,1.0
34,0,1.0
34,1,0.9285714285714286
34,2,1.0
34,3,1.0
34,4,1.0
35,0,0.9285714285714286
35,1,0.8571428571428571
35,2,1.0
35,3,1.0
35,4,1.0
36,0,0.9285714285714286
36,1,0.8571428571428571
36,2,1.0
36,3,1.0
36,4,1.0
37,0,0.9285714285714286
37,1,0.8571428571428571
37,2,1.0
37,3,1.0
37,4,0.9285714285714286
38,0,0.9285714285714286
38,1,0.8571428571428571
38,2,1.0
38,3,1.0
38,4,0.9285714285714286
39,0,0.9285714285714286
39,1,0.8571428571428571
39,2,1.0
39,3,1.0
39,4,0.9285714285714286
40,0,0.8571428571428571
40,1,0.8571428571428571
40,2,1.0
40,3,1.0
40,4,0.9285714285714286
41,0,0.8571428571428571
41,1,0.7857142857142857
41,2,1.0
41,3,1.0
41,4,0.9285714285714286
42,0,0.8571428571428571
42,1,0.7857142857142857
42,2,1.0
42,3,0.9285714285714286
42,4,0.8571428571428571
43,0,0.9285714285714286
43,1,0.6428571428571429
43,2,1.0
43,3,0.9285714285714286
43,4,0.8571428571428571
44,0,0.9285714285714286
44,1,0.6428571428571429
44,2,1.0
44,3,0.9285714285714286
44,4,0.8571428571428571
45,0,0.9285714285714286
45,1,0.6428571428571429
45,2,1.0
45,3,0.9285714285714286
45,4,0.8571428571428571
46,0,0.9285714285714286
46,1,0.6428571428571429
46,2,1.0
46,3,0.9285714285714286
46,4,0.8571428571428571
47,0,0.9285714285714286
47,1,0.6428571428571429
47,2,1.0
47,3,0.9285714285714286
47,4,0.8571428571428571
48,0,1.0
48,1,1.0
48,2,1.0
48,3,1.0
48,4,1.0
