prefix,steering_concept,multiplier,rank,generation
adjusting the thermostat using a,None,0,0, screwdriver
adjusting the thermostat using a,None,0,1, multimeter
adjusting the thermostat using a,None,0,2, 
adjusting the thermostat using a,None,0,3, thermostat
adjusting the thermostat using a,None,0,4, wrench
adjusting the thermostat using a,None,0,5, thermometer
adjusting the thermostat using a,None,0,6, digital
adjusting the thermostat using a,None,0,7, screw
adjusting the thermostat using a,None,0,8, special
adjusting the thermostat using a,None,0,9, temperature
adjusting the thermostat using a,None,0,10, dial
adjusting the thermostat using a,None,0,11, tool
adjusting the thermostat using a,None,0,12, small
adjusting the thermostat using a,None,0,13, temp
adjusting the thermostat using a,None,0,14, T
adjusting the thermostat using a,None,0,15, t
adjusting the thermostat using a,None,0,16, wire
adjusting the thermostat using a,None,0,17, vacuum
adjusting the thermostat using a,None,0,18, gauge
adjusting the thermostat using a,None,0,19, remote
adjusting the thermostat using a,improbable,1,0, 
adjusting the thermostat using a,improbable,1,1, screwdriver
adjusting the thermostat using a,improbable,1,2, thermostat
adjusting the thermostat using a,improbable,1,3, multimeter
adjusting the thermostat using a,improbable,1,4, digital
adjusting the thermostat using a,improbable,1,5, thermometer
adjusting the thermostat using a,improbable,1,6, temp
adjusting the thermostat using a,improbable,1,7, screw
adjusting the thermostat using a,improbable,1,8, wrench
adjusting the thermostat using a,improbable,1,9, resistor
adjusting the thermostat using a,improbable,1,10, special
adjusting the thermostat using a,improbable,1,11, temperature
adjusting the thermostat using a,improbable,1,12, vacuum
adjusting the thermostat using a,improbable,1,13, tool
adjusting the thermostat using a,improbable,1,14, soldering
adjusting the thermostat using a,improbable,1,15, t
adjusting the thermostat using a,improbable,1,16, dial
adjusting the thermostat using a,improbable,1,17, computer
adjusting the thermostat using a,improbable,1,18, T
adjusting the thermostat using a,improbable,1,19, small
adjusting the thermostat using a,improbable,3,0, 
adjusting the thermostat using a,improbable,3,1, thermostat
adjusting the thermostat using a,improbable,3,2, thermometer
adjusting the thermostat using a,improbable,3,3, fan
adjusting the thermostat using a,improbable,3,4, soldering
adjusting the thermostat using a,improbable,3,5, heat
adjusting the thermostat using a,improbable,3,6, multimeter
adjusting the thermostat using a,improbable,3,7, digital
adjusting the thermostat using a,improbable,3,8, screwdriver
adjusting the thermostat using a,improbable,3,9, computer
adjusting the thermostat using a,improbable,3,10, temp
adjusting the thermostat using a,improbable,3,11, vacuum
adjusting the thermostat using a,improbable,3,12, temperature
adjusting the thermostat using a,improbable,3,13, t
adjusting the thermostat using a,improbable,3,14, remote
adjusting the thermostat using a,improbable,3,15, laptop
adjusting the thermostat using a,improbable,3,16, resistor
adjusting the thermostat using a,improbable,3,17, small
adjusting the thermostat using a,improbable,3,18, hair
adjusting the thermostat using a,improbable,3,19, water
adjusting the thermostat using a,improbable,5,0, 
adjusting the thermostat using a,improbable,5,1, fan
adjusting the thermostat using a,improbable,5,2, soldering
adjusting the thermostat using a,improbable,5,3, heat
adjusting the thermostat using a,improbable,5,4, thermostat
adjusting the thermostat using a,improbable,5,5, thermometer
adjusting the thermostat using a,improbable,5,6, hair
adjusting the thermostat using a,improbable,5,7, hairdryer
adjusting the thermostat using a,improbable,5,8, computer
adjusting the thermostat using a,improbable,5,9, resistor
adjusting the thermostat using a,improbable,5,10, multimeter
adjusting the thermostat using a,improbable,5,11, small
adjusting the thermostat using a,improbable,5,12, laptop
adjusting the thermostat using a,improbable,5,13, blow
adjusting the thermostat using a,improbable,5,14, digital
adjusting the thermostat using a,improbable,5,15, piece
adjusting the thermostat using a,improbable,5,16, water
adjusting the thermostat using a,improbable,5,17, t
adjusting the thermostat using a,improbable,5,18, hot
